id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,icao,iata,address,phone,website
dabs,Aéroport de Tébessa – Cheikh Larbi Tébessi,12,,,35.42775621347607,8.118502895134583,exact,source_point,anac,"{""icao"":""DABS""}",DABS,,Aéroport de TEBESSA/Cheikh Larbi Tébessi BP 78‐Tebessa,,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-de-tebessa-cheikh-larbi-tebessi
dabt,Aéroport BATNA/ Mostepha Ben BOULAID,05,,,35.75767824581629,6.308248427678342,exact,source_point,anac,"{""icao"":""DABT""}",DABT,,Batna-Mostepha Ben BOULAID aeroport,'+213 33 870152,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-de-batna-mostefa-ben-boulaid
daob,Aéroport TIARET - Abdelhafid Boussouf Bou Chekif,14,,,35.34579589348178,1.4698592674102533,exact,source_point,anac,"{""icao"":""DAOB""}",DAOB,,Aéroport TIARET / Abdelhafid Boussouf Bou Chekif ‐BP 12/Tiaret,'+213 46240005,https://egsa-oran.dz/index.php/aeroport-de-tiaret/
daof,Aéroport de TINDOUF,37,,,27.705212653326345,-8.16543384744355,exact,source_point,anac,"{""icao"":""DAOF""}",DAOF,,"AVA, Direction de la Sécurité Aéronautique BP 72 /TINDOUF",'+213 49370017,https://egsa-oran.dz/index.php/aeroport-de-tindouf/
daoi,Aéroport de CHLEF,02,,,36.21763410012118,1.3246854393403855,exact,source_point,anac,"{""icao"":""DAOI""}",DAOI,,"Aboubakr Belkaid Airport, Chlef",'+213 27728032,https://aeroports-egsa-alger.dz/fr/15.html
daon,Aéroport de Tlemcen – Zenata – Messali El Hadj,13,,,35.012480117143284,-1.4480446913865919,exact,source_point,anac,"{""icao"":""DAON""}",DAON,,Aéroport de TLEMCEN/Zenata-Messali El Hadj/BP50- ZENATA/TLEMCEN,'+21343403149,https://egsa-oran.dz/index.php/nos-aeroports/
daoo,Aéroport d’Oran – Ahmed Benbella,31,,,35.61833150995104,-0.6109085969987015,exact,source_point,anac,"{""icao"":""DAOO""}",DAOO,,Aéroportd’ORAN/Ahmed BenbellaBP13 -Oran,'+21341591067,https://egsa-oran.dz/index.php/aeroport-doran/
daor,Aéroport de BECHAR/Boudghene Ben Ali Lotf,08,,,31.651481919578377,-2.2525513149111935,exact,source_point,anac,"{""icao"":""DAOR""}",DAOR,,Boudghene Ben Ali Lotfi‐ BP: 69/Bechar,'+213 49221909,https://egsa-oran.dz/index.php/aeroport-de-bechar/
daov,Aéroport de GHRISS,29,,,35.204242738046425,0.15366508348121125,exact,source_point,anac,"{""icao"":""DAOV""}",DAOV,,Aéroport de GHRISS BP 12 - GHRISS,'+213 45715911,https://egsa-oran.dz/index.php/aeroport-de-mascara/
daoy,Aéroport d'EL BAYADH,32,,,33.718310325446744,1.093221137403827,exact,source_point,anac,"{""icao"":""DAOY""}",DAOY,,Aéroport d’El Bayadh BP 209 RP/ El Bayadh,'+213 49667806,https://egsa-oran.dz/index.php/aeroport-de-el-bayadh/
datg,Aéroport d’IN GUEZZAM,54,,,19.563939499098094,5.751815823519952,exact,source_point,anac,"{""icao"":""DATG""}",DATG,,Aéroport d’IN GUEZZAM / IN GUEZZAM,'+213 29 351123,https://aeroports-egsa-alger.dz/fr/7.html
datm,Aéroport de BORDJ MOKHTAR –BORDJ MOKHTAR,50,,,21.371800375167478,0.9238537082170545,exact,source_point,anac,"{""icao"":""DATM""}",DATM,,BORDJ MOKHTAR,'+213 49329304,https://egsa-oran.dz/index.php/aeroport-de-bordj-badji-mokhtar/
daua,Aéroport d’Adrar – Touat – Cheikh Sidi Mohamed Belkebir,01,,,27.842093213179865,-0.1894002032622811,exact,source_point,anac,"{""icao"":""DAUA""}",DAUA,,Touat‐Cheikh Sidi Mohamed Belkebir BP15‐Adrar,'+21349358003,https://egsa-oran.dz/index.php/aeroport-de-adrar/
daub,Aéroport de BISKRA/ Mohamed KHIDER,07,,,34.79160974695419,5.733631154631189,exact,source_point,anac,"{""icao"":""DAUB""}",DAUB,,"ENNA – Direction de la Sécurité Aéronautique BP 27 star Melouk BISKRA, Biskra",'+213 33543005,https://www.egsa-constantine.dz/index.php/aeroports/aeroport-de-biskra-mohamed-kheider
daue,Aéroport d’El GOLEA,58,,,30.571557198848183,2.8688732967150132,exact,source_point,anac,"{""icao"":""DAUE""}",DAUE,,Aéroport d’El GOLEA BP 30- El GOLEA,'+213 29210735,https://aeroports-egsa-alger.dz/fr/6.html
daug,Aéroport de Ghardaïa – Noumérat Moufdi Zakaria,47,,,32.378608164328305,3.8015461545489084,exact,source_point,anac,"{""icao"":""DAUG""}",DAUG,,Aéroport de GHARDAIA/Noumérat‐Moufdi Zakaria BP 123/Ghardaia,'+21329295555,https://aeroports-egsa-alger.dz/fr/14.html
dauh,Aéroport de Hassi Messaoud – Oued Irara – Krim Belkacem,30,,,31.675453603011896,6.144544541032298,exact,source_point,anac,"{""icao"":""DAUH""}",DAUH,,Aéroport de Hassi Messaoud/Oued Irara‐Krim Belkacem BP 130,'+21329741885,https://aeroports-egsa-alger.dz/fr/10.html
daui,Aéroport de In Salah BP 23 - IN SALAH,53,,,27.252139159419297,2.508766383227296,exact,source_point,anac,"{""icao"":""DAUI""}",DAUI,,Aéroport de In Salah BP 23 - IN SALAH,'+213 29366103,https://aeroports-egsa-alger.dz/fr/4.html
dauk,Aéroport de TOUGGOURT /Sidi Mahdi,55,,,33.06679067003136,6.091777108546213,exact,source_point,anac,"{""icao"":""DAUK""}",DAUK,,Aéroport de TOUGGOURT /Sidi Mahdi ‐BP 47 / TOUGGOURT,'+213 29 69 31 45,https://aeroports-egsa-alger.dz/fr/8.html
dauo,Aéroport d’El Oued/Guemar,39,,,33.507414582460555,6.784868996915831,exact,source_point,anac,"{""icao"":""DAUO""}",DAUO,,Aéroport d’El Oued/Guemar BP 110 / El Oued,'+213 32101015,https://aeroports-egsa-alger.dz/fr/17.html
daut,Aéroport de TIMIMOUN,49,,,29.244465048530696,0.2812601237662405,exact,source_point,anac,"{""icao"":""DAUT""}",DAUT,,Aéroport de TIMIMOUN ‐ BP 440/ TIMIMOUN,'+213 49305706,https://egsa-oran.dz/index.php/aeroport-de-timimoun/
dauu,Aéroport de Ouargla/Ain Beida,30,,,31.936205024205428,5.408429008410361,exact,source_point,anac,"{""icao"":""DAUU""}",DAUU,,Aéroport de Ouargla‐ BP 11 /OUARGLA,'+213 29774906,https://aeroports-egsa-alger.dz/fr/2.html
dauz,Aéroport de Zarzaitine – In Aménas,33,,,28.051765839675433,9.63789046606008,exact,source_point,anac,"{""icao"":""DAUZ""}",DAUZ,,Aéroport de In Amenas B.P 51 /IN AMENAS,'+213 29 45 13,https://aeroports-egsa-alger.dz/fr/12.html
