id,name,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,statut,address,tel,fax
02-003,الوحدة البحرية تنس,الوحدة البحرية تنس,02,0202,Tenes,36.504902,1.26164,exact,dgpc_map,dgpc,"{""dgpc"":""122"",""dgpc_wilaya"":""02""}",UNITE MARINE,"AVENUE RAKOUN OUED EL KSAB, TENES",027456265,027456265
02-004,وحدة القطاع سيدي عكاشة,وحدة القطاع سيدي عكاشة,02,0211,Sidi Akkacha,36.465698,1.30935,exact,dgpc_map,dgpc,"{""dgpc"":""123"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"CITE ZONE INDUSTRIELLE, SIDI AKKACHA",027760106,027760106
02-005,وحدة القطاع بوزغاية,وحدة القطاع بوزغاية,02,0231,Bouzeghaia,36.331799,1.24241,exact,dgpc_map,dgpc,"{""dgpc"":""124"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"RUE KARZIZ YAHIA, BOUZGHAIA",027715080,027715080
02-006,وحدة القطاع الشطية,وحدة القطاع الشطية,02,0224,Chettia,36.189098,1.25063,exact,dgpc_map,dgpc,"{""dgpc"":""125"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"VILLAGE AGRICOLE AVENUE KHELADI MOHAMED, CHETTIA",027731614,027731614
02-007,الوحدة الثانوية أبو الحسن,الوحدة الثانوية أبو الحسن,02,0222,Abou El Hassane,36.414299,1.19482,exact,dgpc_map,dgpc,"{""dgpc"":""126"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"RUE DES FRERES AZOUNI CITE 160LOGEMENTS, ABOU EL HASSAN",027755285,027755285
02-008,الوحدة الثانوية تاوقريت,الوحدة الثانوية تاوقريت,02,0206,Taougrit,36.2449,0.923846,exact,dgpc_map,dgpc,"{""dgpc"":""128"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"RUE LACHAAB ABDALLAH CITE 05 JUILLET, TAOUGHRIT",027420169,027420169
02-009,الوحدة الثانوية عين مران,الوحدة الثانوية عين مران,02,0232,Ain Merane,36.162399,0.981232,exact,dgpc_map,dgpc,"{""dgpc"":""129"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"AVENUE BEN SERIR AHMED, AIN AMRANE",027428074,027428074
02-010,الوحدة الثانوية بوقادير,الوحدة الثانوية بوقادير,02,0212,Boukadir,36.064301,1.12738,exact,dgpc_map,dgpc,"{""dgpc"":""130"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"RUE MOUDJAHID ZEDOUD NOMME YOUCEF, BOUKADIR",027749114,027749114
02-011,وحدة القطاع وادي سلي,وحدة القطاع وادي سلي,02,0221,Oued Sly,36.104801,1.20653,exact,dgpc_map,dgpc,"{""dgpc"":""131"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"AVENUE COLONEL AIT AMIROUCHE RN04, OUED SLY",027710020,027710020
02-012,الوحدة الثانوية أولاد بن عبد القادر,الوحدة الثانوية أولاد بن عبد القادر,02,0230,Ouled Ben Abdelkader,36.0187,1.27464,exact,dgpc_map,dgpc,"{""dgpc"":""132"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"CITE 60LOGEMENTS RUE CH-BOUDIA MOHAMED, OULED BEN ABDELKADER",027423023,027423023
02-013,المركز المتقدم الشرفة_الشلف,المركز المتقدم الشرفة_الشلف,02,0201,Chlef,36.1474,1.31653,exact,dgpc_map,dgpc,"{""dgpc"":""133"",""dgpc_wilaya"":""02""}",POSTE AVANCE,"CITE EL CHORFA, CHLEF",027794350,027794350
02-014,وحدة القطاع سنجاس,وحدة القطاع سنجاس,02,0219,Sendjas,36.070202,1.395,exact,dgpc_map,dgpc,"{""dgpc"":""134"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"RUE SALHI, SENDJAS",027702088,027702088
02-015,الوحدة الثانوية الكريمية,الوحدة الثانوية الكريمية,02,0204,El Karimia,36.1096,1.56082,exact,dgpc_map,dgpc,"{""dgpc"":""135"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"CITE MAILLOT, EL KARIMIA",027708568,027708568
02-016,الوحدة الثانوية وادي الفضة,الوحدة الثانوية وادي الفضة,02,0229,Oued Fodda,36.186199,1.52778,exact,dgpc_map,dgpc,"{""dgpc"":""136"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"RUE DU 01er NOVEMBRE, OUED FODDA",027447459,027447459
02-017,الوحدة الثانوية الزبوجة,الوحدة الثانوية الزبوجة,02,0220,Zeboudja,36.351002,1.42861,exact,dgpc_map,dgpc,"{""dgpc"":""137"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"RUE CH-BOUZIANE KADOURA, ZEBOUDJA",027752606,027752606
02-018,وحدة القطاع أم الدروع,وحدة القطاع أم الدروع,02,0233,Oum Drou,36.196602,1.38637,exact,dgpc_map,dgpc,"{""dgpc"":""138"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"RUE TAZI, OUM DROUA",027718357,027718357
02-019,المركز المتقدم الحمادية_الشلف,المركز المتقدم الحمادية_الشلف,02,0201,Chlef,36.1534,1.30207,exact,dgpc_map,dgpc,"{""dgpc"":""139"",""dgpc_wilaya"":""02""}",POSTE AVANCE,"CITE EL HAMADIA, CHLEF",027798984,027798984027798984
02-020,الوحدة الرئيسية الشلف,الوحدة الرئيسية الشلف,02,0201,Chlef,36.171101,1.34824,exact,dgpc_map,dgpc,"{""dgpc"":""140"",""dgpc_wilaya"":""02""}",UNITE PRINCIPALE,"CITE AMOUANE, CHLEF",027779969,027777095
02-021,وحدة القطاع بني راشد,وحدة القطاع بني راشد,02,0213,Beni Rached,36.2784,1.5173,exact,dgpc_map,dgpc,"{""dgpc"":""419"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"RUE BELAAREDJ ALI, BENI RACHED",027440359,027440389
02-022,مديرية الحماية المدنية الشلف,مديرية الحماية المدنية الشلف,02,0201,Chlef,36.170799,1.34769,exact,dgpc_map,dgpc,"{""dgpc"":""520"",""dgpc_wilaya"":""02""}",SIEGE DE DIRECTION WILAYA,"CITE AMOUANE, CHLEF",027771240027771240027771240027771240027771240027771240027771240027771240,027772656
02-023,الوحدة الثانوية أولاد فارس,الوحدة الثانوية أولاد فارس,02,0210,Ouled Fares,36.2356,1.24664,exact,dgpc_map,dgpc,"{""dgpc"":""542"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"CITE 40LOGEMENTS RUE CH-FADEL EL MILOUD, OULED FARES",027727094,027727402
02-024,المركز المتقدم بوقادير,المركز المتقدم بوقادير,02,0212,Boukadir,36.066101,1.11102,exact,dgpc_map,dgpc,"{""dgpc"":""543"",""dgpc_wilaya"":""02""}",POSTE AVANCE,"RUE NEDJMA ABDELKADER EL DJAZARIA, BOUKADIR",027742000027742000027742000,027742001
02-025,وحدة القطاع تاجنة,وحدة القطاع تاجنة,02,0205,Tadjena,36.3265,1.14291,exact,dgpc_map,dgpc,"{""dgpc"":""749"",""dgpc_wilaya"":""02""}",UNITE DE SECTEUR,"CENTRE VILLE TADJENA, TADJENA",027424624,027424624
02-026,الوحدة الثانوية المرسى,الوحدة الثانوية المرسى,02,0223,El Marsa,36.407902,0.920757,exact,dgpc_map,dgpc,"{""dgpc"":""825"",""dgpc_wilaya"":""02""}",UNITE SECONDAIRE,"CITE M'BROUKA AEK, EL MARSA",027756228,027756228
03-001,الوحدة الثانوية قصر الحيران,الوحدة الثانوية قصر الحيران,03,0302,Ksar El Hirane,33.783798,3.12664,exact,dgpc_map,dgpc,"{""dgpc"":""420"",""dgpc_wilaya"":""03""}",UNITE SECONDAIRE,"RN31 ENTREE VILLE KSAR EL HIRANE, KSAR EL HIRANE",029122847,029122846
03-002,الوحدة الرئيسية الأغواط,الوحدة الرئيسية الأغواط,03,0301,Laghouat,33.7845,2.85953,exact,dgpc_map,dgpc,"{""dgpc"":""421"",""dgpc_wilaya"":""03""}",UNITE PRINCIPALE,"CW230 VERS KHENEG, LAGHOUAT",029102355/64,029102375
03-003,الوحدة الثانوية حاسي الرمل,الوحدة الثانوية حاسي الرمل,03,0306,Hassi R'mel,32.9347,3.27306,exact,dgpc_map,dgpc,"{""dgpc"":""422"",""dgpc_wilaya"":""03""}",UNITE SECONDAIRE,"RN01 LES HABITANTS DE BOUZBIR, HASSI RMEL",029187681,029187682
03-004,الوحدة الثانوية عين ماضي,الوحدة الثانوية عين ماضي,03,0307,Ain Madhi,33.803799,2.31,approximate,dgpc_map,dgpc,"{""dgpc"":""424"",""dgpc_wilaya"":""03""}",UNITE SECONDAIRE,"CW231 ENTREE VILLE AIN MADHI, AIN MADHI",029130802,029130801
03-005,مديرية الحماية المدنية الأغواط,مديرية الحماية المدنية الأغواط,03,0301,Laghouat,33.785198,2.86079,exact,dgpc_map,dgpc,"{""dgpc"":""425"",""dgpc_wilaya"":""03""}",SIEGE DE DIRECTION WILAYA,"ROUTE DE KHENEG, LAGHOUAT",029102369,029102367
03-006,الوحدة الثانوية سيدي مخلوف,الوحدة الثانوية سيدي مخلوف,03,0304,Sidi Makhlouf,34.142399,3.02714,exact,dgpc_map,dgpc,"{""dgpc"":""426"",""dgpc_wilaya"":""03""}",UNITE SECONDAIRE,"RN01 CENTRE VILLE SIDI MEKHLOUF, SIDI MEKHLOUF",029141221,029141222
03-007,المركز المتقدم المقدر_الأغواط,المركز المتقدم المقدر_الأغواط,03,0301,Laghouat,33.7976,2.87731,exact,dgpc_map,dgpc,"{""dgpc"":""544"",""dgpc_wilaya"":""03""}",POSTE AVANCE,"CITE MAKDER, LAGHOUAT",029118941,029118936
03-008,المركز المتقدم بليل_حاسي الرمل,المركز المتقدم بليل_حاسي الرمل,03,0306,Hassi R'mel,33.276699,3.19247,exact,dgpc_map,dgpc,"{""dgpc"":""663"",""dgpc_wilaya"":""03""}",POSTE AVANCE,"CENTR VILLE BELIL, HASSI RMEL",029183062,029183061
03-009,وحدة القطاع حاسي الدلاعة,وحدة القطاع حاسي الدلاعة,03,0305,Hassi Delaa,33.4077,3.54271,exact,dgpc_map,dgpc,"{""dgpc"":""808"",""dgpc_wilaya"":""03""}",UNITE DE SECTEUR,"CW232 CENTR VILLE HASSI DHELAA, HASSI DHELAA",029180606,029180640
03-010,وحدة القطاع تاجرونة,وحدة القطاع تاجرونة,03,0318,Tadjrouna,33.509201,2.11117,exact,dgpc_map,dgpc,"{""dgpc"":""809"",""dgpc_wilaya"":""03""}",UNITE DE SECTEUR,"CW230 CENTR VILLE TADJROUNA, TADJROUNA",029140222,029140222
04-001,الوحدة الثانوية قصرالصباحي,الوحدة الثانوية قصرالصباحي,04,0422,Ksar Sbahi,36.078201,7.25655,exact,dgpc_map,dgpc,"{""dgpc"":""202"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE FENTAZI MOHAMED, KSAR SBIHI",032555588,032555511
04-002,الوحدة الثانوية عين البيضاء,الوحدة الثانوية عين البيضاء,04,0402,Ain Beida,35.7995,7.39188,exact,dgpc_map,dgpc,"{""dgpc"":""203"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE DES FRERES BELAALMI ET CITE 01er NOVEMBRE1954, AIN BEIDA",032693975,032693904
04-003,الوحدة الثانوية فكرينة,الوحدة الثانوية فكرينة,04,0416,Fkirina,35.657902,7.29276,exact,dgpc_map,dgpc,"{""dgpc"":""204"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE DELFI HAMADA, FKRINA",032660336,032660338
04-004,الوحدة الثانوية مسكيانة,الوحدة الثانوية مسكيانة,04,0424,Meskiana,35.630699,7.67419,exact,dgpc_map,dgpc,"{""dgpc"":""205"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE BOUHAFS AISSA RN10, MESKIANA",032663206,032663203
04-005,الوحدة الثانوية عين فكرون,الوحدة الثانوية عين فكرون,04,0425,Ain Fekroun,35.9715,6.8629,exact,dgpc_map,dgpc,"{""dgpc"":""206"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE 60LOGEMENTS ROUTE AIN KERCHA-AIN FAKROUNE, AIN FAKROUN",032575162,032575160
04-006,الوحدة الثانوية عين كرشة,الوحدة الثانوية عين كرشة,04,0412,Ain Kercha,35.924599,6.70376,exact,dgpc_map,dgpc,"{""dgpc"":""207"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"RUE DU 01er NOVEMBRE1954, AIN KERCHA",032519474,032519476
04-007,الوحدة الثانوية عين مليلة,الوحدة الثانوية عين مليلة,04,0403,Ain M'lila,36.032799,6.57588,exact,dgpc_map,dgpc,"{""dgpc"":""208"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE MELAH ABOUD ROUTE AIN KERCHA-AIN MLILA, AIN MLILA",032524343,032503200
04-008,الوحدة الثانوية سوق نعمان,الوحدة الثانوية سوق نعمان,04,0417,Souk Naamane,35.896599,6.3782,exact,dgpc_map,dgpc,"{""dgpc"":""209"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE MAASSEM BOU BAKR, SOUK NAAMANE",044701935,044700920
04-009,الوحدة الرئيسية أم البواقي,الوحدة الرئيسية أم البواقي,04,0401,Oum El Bouaghi,35.879501,7.09662,exact,dgpc_map,dgpc,"{""dgpc"":""210"",""dgpc_wilaya"":""04""}",UNITE PRINCIPALE,"CITE LARBI BEN M'HIDI, OUM EL BOUAGHI",032563161,032563194
04-010,الوحدة الثانوية سيقوس,الوحدة الثانوية سيقوس,04,0406,Sigus,36.104599,6.80027,exact,dgpc_map,dgpc,"{""dgpc"":""211"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"DOUAR OULED SAOUD RN10, SIGUS",0470002192,/
04-011,مديرية الحماية المدنية أم البواقي,مديرية الحماية المدنية أم البواقي,04,0401,Oum El Bouaghi,35.867599,7.112,exact,dgpc_map,dgpc,"{""dgpc"":""412"",""dgpc_wilaya"":""04""}",SIEGE DE DIRECTION WILAYA,"CITE LARBI BEN M'HIDI, OUM EL BOUAGHI",032545263,032545350
04-012,الوحدة الثانوية الضلعة,الوحدة الثانوية الضلعة,04,0411,Dhalaa,35.463902,7.53833,exact,dgpc_map,dgpc,"{""dgpc"":""546"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE CHAHID HASNAOUI DJEBBARI, DHALAA",032666300,032666301
04-013,الوحدة الثانوية عين ببوش,الوحدة الثانوية عين ببوش,04,0408,Ain Babouche,35.939899,7.18225,exact,dgpc_map,dgpc,"{""dgpc"":""547"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE ZAGHOUD EL FEDDAOUI, AIN BABOUCHE",032674226,032674228
04-014,الوحدة الثانوية بريش,الوحدة الثانوية بريش,04,0409,Berriche,35.913399,7.37306,exact,dgpc_map,dgpc,"{""dgpc"":""548"",""dgpc_wilaya"":""04""}",UNITE SECONDAIRE,"CITE EL SAADA02 DJERTLI EL TURKI, BERRICHE",032675778,032675779
04-015,المركز المتقدم أولاد حملة,المركز المتقدم أولاد حملة,04,0410,Ouled Hamla,36.0868,6.46148,exact,dgpc_map,dgpc,"{""dgpc"":""872"",""dgpc_wilaya"":""04""}",POSTE AVANCE,"RN100, OULED HAMLA",0470002349,/
04-016,المركز المتقدم بئر الشهداء(يفتح قريبا),المركز المتقدم بئر الشهداء(يفتح قريبا),04,0421,Bir Chouhada,35.8932,6.28613,exact,dgpc_map,dgpc,"{""dgpc"":""881"",""dgpc_wilaya"":""04""}",POSTE AVANCE,BIR CHOUHADA,/,/
05-001,الوحدة الثانوية سريانة,الوحدة الثانوية سريانة,05,0505,Seriana,35.692299,6.18275,exact,dgpc_map,dgpc,"{""dgpc"":""176"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"RN86 CITE TIKOUAS, SERIANA",033265099,033265713
05-002,الوحدة الثانوية عين جاسر,الوحدة الثانوية عين جاسر,05,0519,Ain Djasser,35.861301,6.01245,exact,dgpc_map,dgpc,"{""dgpc"":""177"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"CW75 CITE DES 84LOGEMENTS, AIN DJASSER",033335230,033335228
05-003,الوحدة الثانوية مروانة,الوحدة الثانوية مروانة,05,0504,Merouana,35.6273,5.91297,exact,dgpc_map,dgpc,"{""dgpc"":""178"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"PLACE DE LA REPUBLIQUE ROUTE BATNA-MEROUANA, MEROUANA",033330946,033331114
05-004,الوحدة الثانوية رأس العيون,الوحدة الثانوية رأس العيون,05,0551,Ras El Aioun,35.6768,5.64729,exact,dgpc_map,dgpc,"{""dgpc"":""179"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"RN86 RUE ABERKAN SAID, RAS EL AYOUN",033370233,033370232
05-005,الوحدة الثانوية نقاوس,الوحدة الثانوية نقاوس,05,0509,N Gaous,35.5723,5.6176,exact,dgpc_map,dgpc,"{""dgpc"":""180"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"CW78 CITE FERNAOUET, N'GAOUS",033378125,033378488
05-006,الوحدة الثانوية عين التوتة,الوحدة الثانوية عين التوتة,05,0545,Ain Touta,35.368,5.90102,exact,dgpc_map,dgpc,"{""dgpc"":""182"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"LES ALLEES FOURAR LAKHDAR, AIN EL TOUTA",033353501,033353504
05-007,الوحدة الثانوية تكوت,الوحدة الثانوية تكوت,05,0544,T Kout,35.1315,6.28664,exact,dgpc_map,dgpc,"{""dgpc"":""183"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"CITE EL KSAR, TKOUT",033340513,033340513
05-008,الوحدة الثانوية أريس,الوحدة الثانوية أريس,05,0516,Arris,35.2533,6.35845,exact,dgpc_map,dgpc,"{""dgpc"":""184"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"CITE DRAA EL ZITOUNE, ARRIS",033345053,033345054
05-009,الوحدة الثانوية منعة,الوحدة الثانوية منعة,05,0506,Menaa,35.1763,6.02688,exact,dgpc_map,dgpc,"{""dgpc"":""185"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"CITE MALOUZALF CHLAH, MENAA",033346539,033346540
05-010,الوحدة الثانوية تيمقاد,الوحدة الثانوية تيمقاد,05,0550,Timgad,35.494202,6.46822,exact,dgpc_map,dgpc,"{""dgpc"":""186"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"RUE L'INDEPENDACE, TIMGAD",033211214,033211315
05-011,الوحدة الثانوية الشمرة,الوحدة الثانوية الشمرة,05,0536,Chemora,35.664501,6.6386,exact,dgpc_map,dgpc,"{""dgpc"":""187"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"RN87 CITE KARAAH EL OUAZ, CHEMORA",033326578,/
05-012,الوحدة الثانوية المعذر,الوحدة الثانوية المعذر,05,0507,El Madher,35.626499,6.37158,exact,dgpc_map,dgpc,"{""dgpc"":""188"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"CW26 RUE LES FRERES EL MOKLANI, BEL MADHER",033268182,033268212
05-013,وحدة القطاع عين ياقوت,وحدة القطاع عين ياقوت,05,0522,Ain Yagout,35.773102,6.40972,exact,dgpc_map,dgpc,"{""dgpc"":""189"",""dgpc_wilaya"":""05""}",UNITE DE SECTEUR,"ENTREE SUD AIN YAGOUT, AIN YAGOUT",033293101,033293104
05-014,الوحدة الرئيسية باتنة,الوحدة الرئيسية باتنة,05,0501,Batna,35.563,6.17105,exact,dgpc_map,dgpc,"{""dgpc"":""190"",""dgpc_wilaya"":""05""}",UNITE PRINCIPALE,"ZONE INDUSTRIELLE CITE KCHIDA, BATNA",033222629,033222630
05-015,مديرية الحماية المدنية باتنة,مديرية الحماية المدنية باتنة,05,0501,Batna,35.557701,6.18309,exact,dgpc_map,dgpc,"{""dgpc"":""191"",""dgpc_wilaya"":""05""}",SIEGE DE DIRECTION WILAYA,"18 RUE LARBI BEN M'HIDI, BATNA",033805031,033854310
05-016,المركز المتقدم باتنة,المركز المتقدم باتنة,05,0501,Batna,35.557301,6.18359,exact,dgpc_map,dgpc,"{""dgpc"":""549"",""dgpc_wilaya"":""05""}",POSTE AVANCE,"18 RUE LARBI BEN M'HIDI, BATNA",033852932,033852932
05-017,وحدة القطاع حملة,وحدة القطاع حملة,05,0537,Oued Chaaba,35.530899,6.10146,exact,dgpc_map,dgpc,"{""dgpc"":""659"",""dgpc_wilaya"":""05""}",UNITE DE SECTEUR,"CITE HAMLA03 ROUTE OUED CHAABA-HAMLA, OUED CHAABA",033316603,033316604
05-018,مركز إسعاف الطرقات جرمة,مركز إسعاف الطرقات جرمة,05,0513,Djerma,35.704399,6.33029,exact,dgpc_map,dgpc,"{""dgpc"":""766"",""dgpc_wilaya"":""05""}",POSTE DE SECOURS ROUTIER,"AIN SKHOUNA RN03, DJERMA",033241115,033241116
05-019,الوحدة الثانوية ثنية العابد(تفتح قريبا),الوحدة الثانوية ثنية العابد(تفتح قريبا),05,0547,Teniet El Abed,35.2565,6.20213,exact,dgpc_map,dgpc,"{""dgpc"":""818"",""dgpc_wilaya"":""05""}",UNITE SECONDAIRE,"RUE KHLIF MOHAMED ROUTE BATNA-THENIET EL ABED, THENIET EL ABED",/,/
06-001,الوحدة الثانوية أوقاس,الوحدة الثانوية أوقاس,06,0622,Aokas,36.641899,5.24205,exact,dgpc_map,dgpc,"{""dgpc"":""141"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"RN09 AOKAS PLAGE, AOKAS",034843134,034843063
06-002,الوحدة الثانوية سوق الإثنين,الوحدة الثانوية سوق الإثنين,06,0608,Souk El Tenine,36.630199,5.33359,exact,dgpc_map,dgpc,"{""dgpc"":""142"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"ROND-POINT SOUK EL THNINE, SOUK EL THENINE",034093615,034093614
06-003,الوحدة البحرية بجاية,الوحدة البحرية بجاية,06,0601,Bejaia,36.758301,5.10222,exact,dgpc_map,dgpc,"{""dgpc"":""143"",""dgpc_wilaya"":""06""}",UNITE MARINE,"PORT BEJAIA, BEJAIA",034127795,034127797
06-004,الوحدة الثانوية إغيل علي,الوحدة الثانوية إغيل علي,06,0617,Ighil-Ali,36.346298,4.47692,exact,dgpc_map,dgpc,"{""dgpc"":""144"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"CITE IGHIL ALI, IGHIL ALI",034368482,034368483
06-005,الوحدة الثانوية تازمالت,الوحدة الثانوية تازمالت,06,0627,Tazmalt,36.385399,4.39907,exact,dgpc_map,dgpc,"{""dgpc"":""145"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"CITE SAAT, TAZMALT",034084284,034084282
06-006,الوحدة الثانوية صدوق,الوحدة الثانوية صدوق,06,0626,Seddouk,36.546101,4.68155,exact,dgpc_map,dgpc,"{""dgpc"":""146"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"CITE BALIR ADDA, SEDOUK",034086167,034086166
06-007,الوحدة الثانوية آقبو,الوحدة الثانوية آقبو,06,0625,Akbou,36.467201,4.53028,exact,dgpc_map,dgpc,"{""dgpc"":""147"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"RN26A ANCIENNE CASERNE, AKBOU",034187568,034187567
06-008,مديرية الحماية المدنية بجاية,مديرية الحماية المدنية بجاية,06,0601,Bejaia,36.750599,5.07111,exact,dgpc_map,dgpc,"{""dgpc"":""148"",""dgpc_wilaya"":""06""}",SIEGE DE DIRECTION WILAYA,"CITE TOBAL, BEJAIA",034129831/32,034129816
06-009,الوحدة الرئيسية بجاية,الوحدة الرئيسية بجاية,06,0601,Bejaia,36.736,5.06292,exact,dgpc_map,dgpc,"{""dgpc"":""149"",""dgpc_wilaya"":""06""}",UNITE PRINCIPALE,"QUATRE CHEMINS, BEJAIA",034102340,034102321
06-010,الوحدة الثانوية القصر,الوحدة الثانوية القصر,06,0640,El Kseur,36.675201,4.85141,exact,dgpc_map,dgpc,"{""dgpc"":""150"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"LOTS TERRAINS130/131, EL KSEUR",034823565,034823565
06-011,الوحدة الثانوية أميزور,الوحدة الثانوية أميزور,06,0602,Amizour,36.651901,4.90779,exact,dgpc_map,dgpc,"{""dgpc"":""151"",""dgpc_wilaya"":""06""}",UNITE SECONDAIRE,"BOUAKAR ROUTE BEJAIA-AMIZOUR, AMIZOUR",034087514,034087514
