id,name,name_fr,type,type_label,abreviation,code,secteur,commune,wilaya_code,lat,lng,adresse,adresse_fr,telephone,fax,email,site_web,facebook,capacite,capacite_reelle,surface_m2,internat,capacite_internat,vocations,source
11,مركز التكوينالمهني و التمهينبودة,Centre de Formation Professionnelle et de l'ApprentissageBOUDA,cfpa,مركز التكوين المهني والتمهين,CFPA BOUDAADRAR,0111,public,بودة,01,28.007186,-0.42451,زاوية الشيخ بن عومربودة ادرار,Zaouit el cheikh ben oumeur boudaAdrar,049353115,049353114,boudacfpa@gmail.com,,https://www.facebook.com/cfpa.bouda.FM,150,158,6947,true,60,,takwin.dz (MFEP)
12,مركز التكوينالمهني و التمهينبأدرار4,Centre de Formation Professionnelle et del'Apprentissage ADRAR04,cfpa,مركز التكوين المهني والتمهين,CFPA ADRAR04,0112,public,تيمي,01,,,الطريق الوطني رقم 06بلدية أولاد أحمدتيمي,RN°06 APC Ouled AhmedTimmi,049350888,049350961,cfpa.timmi04@gmail.com,,www.facebook.com/profile.php?id=100064360075287,300,449,16000,true,60,,takwin.dz (MFEP)
13,مركز التكوينالمهني و التمهينبسالي,Centre de Formation Professionnelle et de l'ApprentissageSALI,cfpa,مركز التكوين المهني والتمهين,CFPA SALIADRAR,0115,public,سالي,01,,,بلدية سالي,COMMUNESALI,049322683,049322684,cfpa.sali18@gmail.com,,https://www.facebook.com/salicfpa,200,109,15000,true,60,,takwin.dz (MFEP)
14,النخبة الخاصةبالتكوين المهني,Alnoukhba pour la formationprofessionnelle,prive,مؤسسة خاصة معتمدة,EPFEP AL NOUKHBA ADRAR,P8D6X,prive,أدرار,01,,,حي 20أوت أدرار,Cité 20 AoutAdrar,049364845,049364845,aribirachid.inf2021s2@gmail.com,,www.facebook.com/profile.php?id=100064598752635,65,61,150,false,,الإدراةوالتسيير والإعلامالآلي,takwin.dz (MFEP)
15,أفاق للإعلامالألي الخاصة,AFAKADRAR,prive,مؤسسة خاصة معتمدة,EPFEP AFAKADRAR,0104AA,prive,أدرار,01,,,حيعيشاوي قدورادرار,Cité Aichaoui kaddourAdrar,0661175767,049363049,maatallahhaidour@yahoo.com,,https://www.facebook.com/afaqschooladrar,95,130,498.11,false,,الإدارةوالإعلامالآلي,takwin.dz (MFEP)
16,مدرسة هندسة مهنالكهرباء والغاز,Ecoleelectricité Sonelgaze,prive,مؤسسة خاصة معتمدة,EPFEP SONELGAZADRAR,01603,prive,أدرار,01,,,طريق المطار أدرار,Roue de l'aeroportAdrar,0,0,contact@ecolesonelgase.dz,,,160,,,false,,الكهرباء ،الالكترونيكوالطاقة,takwin.dz (MFEP)
17,المؤسسة الخاصةللتكوين المهنيترشيد اكاديمي,TarchidAcademy,prive,مؤسسة خاصة معتمدة,EPFEPTARCHIDADRAR,01604,prive,أدرار,01,27.877141,-0.270161,حيمناد منصور تيليلانادرار,Cité mennad Mansour tililaneAdrar,049362004,049362004,trchid01@yahoo.fr,,,85,,,false,,البناءوالأشغال العمومية، الاعلام الآلي,takwin.dz (MFEP)
18,مديرية التكوينو التعليم المهنيينلولاية شلف,DFEPCHLEF,dfep,مديرية التكوين والتعليم المهنيين,DFEPCHLEF,0200,public,الشلف,02,,,حي إداري شريفي قدورالشلف,HAY ADMINISTRATIVE CHERIFI KADOURECHLEH,020642999,020642318,dfepchlefat@mfep.gov.dz,,https://www.facebook.com/dfpchlef,,,787,false,,,takwin.dz (MFEP)
19,المعهد الوطنيالمتخصص في التكوينالمهني للتسييرالشلف,Institut National Specialise de la Formation ProfessionnelleENGESTION,insfp,معهد وطني متخصص في التكوين المهني,INSFPGCHLEF,0215,public,الشلف,02,36.157036,1.314122,حيبن سونة طريق الشرفةالشلف,HAY BEN SOUNNA ROUTE DE CHORFACHLEF,020661966,020662826,insfpg0215@gmail.com,,,700,1055,30046,true,200,تقنيات الإدارة والتسييرTAGاعلام الي الرقمنةو الاتصالات INT; مهنالمياه و البيئةMEE,takwin.dz (MFEP)
20,المعهد الوطنيالمتخصص في التكوينالمهني بالشلف,Institut NationalSpécialisé de Formation Professionnelle,insfp,معهد وطني متخصص في التكوين المهني,INSFP MOUSSALAHACHLEF,0218,public,الشلف,02,36.134021,1.359484,حيالمصالحة الشلف,CITEMOUSSALAHA CHLEF,044345300,044345039,insfpbtpchlef@yahoo.com,,https://web.facebook.com/insfpbtpchlef,700,266,16430,true,400,البناء و الأشغالالعمومية,takwin.dz (MFEP)
21,المعهد الوطنيالمتخصص في التكوينالمهني واديالفضة,Institut National Spécialisé de FormationProfessionnelle de Ouedfodda,insfp,معهد وطني متخصص في التكوين المهني,INSFP OUED FODDACHLEF,02228,public,واديالفضة,02,36.179437,1.52796,طريق الكريمة بلديةوادي الفضة/ م.ت.م.تسابقاً,rue elkarimia commune oued fodda/Excfpa,027448771,027447804,insfpouedfodda@gmail.com,,https://www.facebook.com/profile.php?id=61555814116694&mibextid=ZbWKwL,300,76,16420,true,120,لمتحدد بعدالشعب,takwin.dz (MFEP)
22,المعهد الوطنيالمتخصص في التكوينالمهني بتنس,Institut National Specialisede la Formation ProfessionnelleTénès,insfp,معهد وطني متخصص في التكوين المهني,INSFP TENESCHLEF,02229,public,تنس,02,36.502259,1.267387,الطريق الوطني رقم 11الشعارير تنس غربالشلف,Route nationale n 11 ChaarirTénès,,,,,,300,,19852,true,120,,takwin.dz (MFEP)
23,معهد التعليمالمهني الشلف,IEPCHLEF,iep,معهد التعليم المهني,IEPCHLEF,0227,public,الشلف,02,36.153953,1.313158,طريق حي البدر المدينةالجديدةالشلف,route hay elbadre elbadr nouvelle villechlef,027793286,027793286,chlefiep@gmail.com,,https://www.facebook.com/110866247070379,1000,306,15000,true,300,الكهرباء; الإلكترونيك طاقويةELE,takwin.dz (MFEP)
24,مركز التكوينالمهني و التمهينالشلف,Centre de Formation Professionnelle et de l'ApprentissageCHLEF,cfpa,مركز التكوين المهني والتمهين,CFPA CHLEFCHLEF,0201,public,الشلف,02,36.171646,1.34529,شارع ابن باديس ص.ب 148الشلف,BOULEVARD IBN BADIS BP 148CHLEF,020642399,020642717,cfpachlef@gmail.com,,https://www.facebook.com/cfpa.chlef.2025,250,613,28336,true,120,,takwin.dz (MFEP)
25,مركز التكوينالمهني و التمهينأولاد محمد,Centre de Formation Professionnelleet de l'Apprentissage OULEDMOHAMED,cfpa,مركز التكوين المهني والتمهين,CFPA OULED MOHAMEDCHLEF,0208,public,الشلف,02,36.166258,1.371006,منطقة 08 اولاد محمدالشلف,Zone 08 OuledMohamed,028572379,028572379,cfpaouledmohamed02@gmail.com,,https://www.facebook.com/100063441262155,250,818,18910,false,60,,takwin.dz (MFEP)
26,مركز التكوينالمهني و التمهينالشرفة,Centre de Formation Professionnelle et del'ApprentissageCHORFA,cfpa,مركز التكوين المهني والتمهين,CFPA CHORFACHLEF,0214,public,الشلف,02,,,حيالبدر الشرفةالشلف,HAY ELBADR CHORFACHLEF,028568978,028568650,cfpachorfa0@gmail.com,,https://www.facebook.com/cfpa.chorfa.58,250,94,14090,true,60,,takwin.dz (MFEP)
27,مركز التكوين المهنيو التمهين أولادفارس,Centre de Formation Professionnelle et de l'Apprentissage OULEDFARES,cfpa,مركز التكوين المهني والتمهين,CFPA OULED FARESCHLEF,0210,public,أولادفارس,02,36.229683,1.234835,طريق الوطني رقم 19 أولادفارس مركز,RN°19 OULED FARESCENTRE,028565251,028565036,cfpa.fares02@gmail.com,,https://www.facebook.com/CFPAOULEDFARES.85,250,288,17200,true,60,,takwin.dz (MFEP)
28,مركز التكوينالمهني و التمهينالشطية,Centre de Formation Professionnelle et del'ApprentissageCHETTIA,cfpa,مركز التكوين المهني والتمهين,CFPACHETTIACHLEF,0206,public,الشطية,02,36.203681,1.265574,منطقة 04 الشطيةالشلف,cfpachettia zone 04 chettia chlef,027007300,027007083,cfpacfpachettia@gmail.com,,https://www.facebook.com/100057059305662,250,341,15300,true,60,,takwin.dz (MFEP)
29,مركز التكوينالمهني و التمهينوادي الفضة,Centre de Formation Professionnelleet de l'Apprentissage OUEDFODDA,cfpa,مركز التكوين المهني والتمهين,CFPA OUED FODDACHLEF,0204,public,واديالفضة,02,,,الطريق الوطني رقم 04وادي الفضة,Route nationale n 4 ouedfodda,027447275,027447129,cfpa.ouedfodda.0204@gmail.com,,https://www.facebook.com/100057216888964,250,260,7105,true,60,,takwin.dz (MFEP)
30,مركز التكوينالمهني و التمهين أمدروع,Centre de Formation Professionnelle et de l'Apprentissage OUMDROU,cfpa,مركز التكوين المهني والتمهين,CFPA OUMDROUCHLEF,0207,public,أمالدروع,02,36.196128,1.394401,حيعزون أم الدروع,HAY AZOUNOUMDROU,028611728,,cfpaoumdrou0207@gmail.com,,https://www.facebook.com/OUMDROUCFPA,250,319,13224,true,60,,takwin.dz (MFEP)
31,مركز التكوينالمهني و التمهينتنس,Centre de Formation Professionnelle et de l'ApprentissageTENES,cfpa,مركز التكوين المهني والتمهين,CFPA TENESCHLEF,0202,public,تنس,02,36.514486,1.31657,شارع عمار محمد تنس,Rueamar mohamed ténès,027766565,027767310,cfpatenes02@gmail.com,,https://web.facebook.com/profile.php?id=61558270931140,300,384,18056,true,60,,takwin.dz (MFEP)
32,مركز التكوينالمهني و التمهينسيدي عكاشة,Centre de Formation Professionnelleet de l'Apprentissage SIDIAKKACHA,cfpa,مركز التكوين المهني والتمهين,CFPA SIDI AKKACHACHLEF,0213,public,سيديعكاشة,02,36.47,1.31328,طريق الوطني رقم 19 سيديعكاشة,ROUTE NATIONALE N° 19 SIDI AKKACHA,027760192,027761176,cfpasidiakkacha2020@gmail.com,,https://www.facebook.com/cfpasidiakkacha2020,250,332,17460,true,60,,takwin.dz (MFEP)
33,مركز التكوينالمهني و التمهينبوزغاية,Centre de Formation Professionnelle et del'ApprentissageBOUZGHAIA,cfpa,مركز التكوين المهني والتمهين,CFPA BOUZGHAIACHLEF,0211,public,بوزغاية,02,36.340213,1.242315,شارع الشهيد بوزيانأحمد رقم 17 بوزغايةمركز,ROUTE CHHID BOUZIANE AHMED 17BOUZGHAIA,027715012,027715198,cfpabouzghaia2018@gmail.com,,https://www.facebook.com/people/CFPABouzghaia/61558471713084/,350,249,25643.6,true,60,,takwin.dz (MFEP)
34,مركز التكوينالمهني و التمهينتاوقريت,Centre de Formation Professionnelle et del'ApprentissageTAOUGRITE,cfpa,مركز التكوين المهني والتمهين,CFPA TAOUGRITECHLEF,0209,public,تاوقريت,02,36.255894,0.924188,حيالشهداء ص ب رقم 31بلدية تاوقريتولاية الشلف,hay chouhadaa communetaougrite cp 31,044352583,044352582,cfpataougrite@gmail.com,,https://www.facebook.com/109141056425672,250,252,10541.1,true,60,,takwin.dz (MFEP)
35,مركز التكوينالمهني و التمهينبوقادير,Centre de Formation Professionnelle et del'ApprentissageBOUKADER,cfpa,مركز التكوين المهني والتمهين,CFPABOUKADERCHLEF,0205,public,بوقادير,02,,,حيالشهيد بن حمدةخليفة بلديةبوقادير ولايةالشلف,Hay Chahid Ben Hamda Khalifa BoukaderChlef,027034365,,cfpaboukadir0205@gmail.com,,https://www.facebook.com/cfpa.boukadir,250,300,19437,true,60,,takwin.dz (MFEP)
36,مركز التكوينالمهني و التمهينسنجاس,Centre de Formation Professionnelle et de l'ApprentissageSENDJAS,cfpa,مركز التكوين المهني والتمهين,CFPA SENDJASCHLEF,0212,public,السنجاس,02,,,الطريق الوطني رقم 19طريق برج بونعامة حي18 فبراير سنجاس مركزولاية الشلف,route de bordj bounaamacité 18 fevrier sendjas centre,027700540,027700960,ccfpasendjas@gmail.com,,https://www.facebook.com/profile.php?id=100015204761052&mibextid=ZbWKwL,300,249,12000,true,60,,takwin.dz (MFEP)
37,مركزالتكوين المهني والتمهين باولاد بنعبد القادر,Centre de Formation Professionnelleet de l'Apprentissage BAYZIDKADDOUR,cfpa,مركز التكوين المهني والتمهين,CFPA BAYZID KADDOURCHLEF,0203,public,أولادبن عبد القادرالشلف,02,,,حيحسيبة بن بوعليأولاد بن عبد القادرالشلف,Hay Hassiba Ben Bouali Ouled BenAbdelkader,027423004,027423729,cfpaobaek0203@gmail.com,,https://www.facebook.com/cfpamassena,250,253,15790,true,60,,takwin.dz (MFEP)
38,مركز التكوينالمهني و التمهينالظهرة,Centre de Formation Professionnelle et del'ApprentissageDAHRA,cfpa,مركز التكوين المهني والتمهين,CFPA DAHRACHLEF,0216,public,الظهر,02,36.255382,0.856361,حيالشهيد عابر بيعقوببلدية الظهرة مركزولاية الشلف,CITE CHAHId ABER BIAAKOUBdAHRA,027426038,027426039,cfpadhahra@gmail.com,,https://www.facebook.com/cfpa.dahra.1,250,186,10000,true,60,,takwin.dz (MFEP)
39,مركز التكوين المهنيو التمهين بنيراشد,Centre de Formation Professionnelle et de l'Apprentissage BeniRached,cfpa,مركز التكوين المهني والتمهين,CFPA BENI RACHEDCHLEF,0217,public,بنيراشد,02,,,شارع شعبان الصامترقم 44 بني راشد,rue chaaban samet N 44beni rached,027440178,027440424,cfpabenirached2016@gmail.com,,https://www.facebook.com/101050265653508,250,161,7903,true,60,,takwin.dz (MFEP)
40,مركزالتكوين المهني والتمهينالكريمية,Centre de Formation Professionnelle et del'Apprentissage ELKARIMIA,cfpa,مركز التكوين المهني والتمهين,CFPA EL KARIMIACHLEF,0219,public,الكريمية,02,36.111852,1.549978,حيالمجاهد الكريمية,Hay elmodjahid elkarimia,027709284,027709284,cfpaelkarimia@gmail.com,,https://www.facebook.com/profile.php?id=6156092648,250,190,4520,false,,,takwin.dz (MFEP)
41,مركز التكوين المهنيو التمهين عينمران,Centre de Formation Professionnelle et de l'Apprentissage AINMERANE,cfpa,مركز التكوين المهني والتمهين,CFPA AIN MERANECHLEF,0220,public,عينمران,02,36.161281,0.974348,حيالشهيد أحمد دقيشعين مران,quartier elchahid ahmed dekkiche ainmerane,028595080,028595080,cfpaainmerane0216@gmail.com,,https://www.facebook.com/cfpa.ainmerane.12/?locale=fr_FR,250,122,8651,true,60,,takwin.dz (MFEP)
42,مركز التكوين المهني والتمهين واديسلي,Centre de Formation Professionnelle et de l'Apprentissage OUEDSLY,cfpa,مركز التكوين المهني والتمهين,CFPA OUED SLYCHLEF,0221,public,واديسلي,02,,,حيالحرية سونلغازوادي سلي الشلف,city sonelgazoued sly,027016040,027016039,cfpa.ouedsly02@gmail.com,,https://www.facebook.com/cfpaouedsly02,250,171,12000,true,60,,takwin.dz (MFEP)
43,مركز التكوينالمهني والتمهينالهرانفة,Centre de Formation Professionnelle et del'Apprentissage Elheranfa,cfpa,مركز التكوين المهني والتمهين,CFPA ELHERENFACHLEF,0222,public,الهرنفة,02,,,حيالحرية رقم 16الهرانفة الشلف,citeelhouria numéro 16 elheranfachlef,027422019,027422018,cfpaheranfa2024@outlook.com,,https://www.facebook.com/CFPA.ELHRANFA,250,142,13073.35,false,,,takwin.dz (MFEP)
44,مركز التكوينالمهني و التمهينالمرسى,Centre de Formation Professionnelle et del'ApprentissageElMarsa,cfpa,مركز التكوين المهني والتمهين,CFPA ELMARSACHLEF,0223,public,المرسى,02,36.407183,0.920295,حيمبروكة عبد القادرالمرسى,hay mabrouka Abdelkader ELMARSA,027025439,027025439,cfpaelmarsa@gmail.com,,https://www.facebook.com/229417587822596,250,116,7760,true,60,,takwin.dz (MFEP)
45,مركز التكوينالمهني و التمهينأبو الحسن,Centre de Formation Professionnelle et del'Apprentissage AbouElHassen,cfpa,مركز التكوين المهني والتمهين,CFPA ABOU ELHASSENCHLEF,0224,public,أبوالحسن,02,36.413773,1.19665,حيالشهيد حداد عبدالقادر أبوالحسن,Hay elchahid hadad abdelkader ABOU eLHASSEN,020645283,044351653,cfpaabouelhasssen0224@gmail.com,,https://www.facebook.com/share/1Fc1wXzVTb/,250,237,14300,true,60,,takwin.dz (MFEP)
46,مركز التكوين المهنيوالتمهين بنيحواء,Centre de Formation Professionnelle et de l'Apprentissage BENIHAOUA,cfpa,مركز التكوين المهني والتمهين,CFPA BENI HAOUACHLEF,0225,public,بنيحواء,02,,,بني حواء مركز,beni haouacentre,027753306,027753658,becfpa@gmail.com,,https://www.facebook.com/cfpa.benihaoua.1,250,139,4700.91,true,60,,takwin.dz (MFEP)
47,مركز التكوينالمهني و التمهينتاجنة,Centre de Formation Professionnelle et de l'ApprentissageTADJENA,cfpa,مركز التكوين المهني والتمهين,CFPA TADJENACHLEF,0226,public,تاجنة,02,36.323148,1.146591,مدخل بلدية تاجنة مقابلمقر المجلس الشعبيالبلدي ولايةالشلف,entrée de la commune en face Apctadjna,027424449,027424449,cfpatadjna@gmail.com,,https://www.facebook.com/profile.php?id=1000920724,250,171,20000,true,60,,takwin.dz (MFEP)
48,المركز الوطنيللتكوين و التعليمالمهنيين عن بعدالملحقة الجهويةلشلف,centre national de la formation professionnelle a distance del'enseignement annexe regional dechle,annexe_cnfepd,ملحقة المركز الوطني للتكوين والتعليم المهنيين عن بعد,,CNFEPD02,public,الشلف,02,36.165116,1.337124,39،شارعالمقاومة، مقابلأكتال، الشلف، 02000، ص ب967,39 rue de la resistance face actel. BP 967. 02000chlef,020642722,020643766,cnfepd.chlefd@gmail.com,,https://www.facebook.com/p/Cnfepd-Annexe-Chlef100095641231091/,,,,false,,,takwin.dz (MFEP)
49,مديريةالتكوين و التعليمالمهنيينالأغواط,DFEPLAGHOUAT,dfep,مديرية التكوين والتعليم المهنيين,dfeplaghouat,0300,public,الأغواط,03,33.809962,2.860757,شارع يحياوي بشير حيالوحات الشماليةالأغواط,rue Yahyaoui Bachir ouasis nordlaghouat,020771914,020771914,dfplaghouat@gmail.com,,https://www.facebook.com/defplagouat/about/,,,960,false,,,takwin.dz (MFEP)
50,المعهدالوطني المتخصص فيالتكوين المهنيللتسير,CInstitut National Specialise de la FormationProfessionnelle DE GESTIONLAGHOUAT,insfp,معهد وطني متخصص في التكوين المهني,INSFPGlaghouat,0308,public,الأغواط,03,33.776004,2.84112,حي المقام ص.ب 1060الأغواط,BP 1060 EL M'KAM LAGHOUAT,029116444,029116446,insfpg.laghouat03dz@gmail.com,,https://www.facebook.com/insfpg.laghouat.dz,1763,1879,36685,true,400,تقنياتالادارة و التسييرTAG,takwin.dz (MFEP)
51,المعهدالوطني المتخصص فيالتكوين المهنيبليل,CInstitut National Specialise de la Formation ProfessionnelleBELLEL,insfp,معهد وطني متخصص في التكوين المهني,INSFP BELLELLAGHOUAT,0314,public,الأغواط,03,32.275997,3.19394,بليل بلدية حاسيالرمل الأغواط,BELLIL COMMUNEHASSI R'MELLAGHOUAT,029183027,029183027,insfpbelil@gmail.com,,www.facebook.com/cpfa.bellil,300,284,8935,true,60,الكيمياءالصناعيةوالبلاستيكيةCIP; الصناعات النفطيةINP; الكهرباءالإلكترونيك طاقويةELE,takwin.dz (MFEP)
52,المعهدالوطني المتخصص فيالتكوين المهنيالأغواط,CInstitut National Specialise de la FormationProfessionnelleLAGHOUAT,insfp,معهد وطني متخصص في التكوين المهني,INSFP KOURKBANELAGHOUAT,0318,public,الأغواط,03,33.775927,2.841119,طريق الخنقالأغواط,ROUTE EL KENEGLAGHOUAT,029138101,029138304,insfptl@gmail.com,,https://www.facebook.com/groups/272813817661122/,695,969,23500,true,120,لايوجد شعب,takwin.dz (MFEP)
53,المعهد الوطنيالمتخصص في التكوينالمهني افلو,Institut National Specialisede la Formation ProfessionnelleAFLOU,insfp,معهد وطني متخصص في التكوين المهني,INSFP AFLOULAGHOUAT,0321,public,أفلو,03,34.10846,2.07732,طريق البيض أفلوالأغواط,ROUTE EL BAYADH AFLOULAGHOUAT,029161260,029161261,insfpaflou3@gmail.com,,https://www.facebook.com/profile.php?id=100065553010545&locale=fr_FR,1291,1059,25650,true,120,التنشيطوالتسييرالسياحي; سياحة /خيار: وكالةالأسفار; الفندقة/خيار: تسيير وإدارةالفنادق; مساعد فيالصحــةالحيـوانيــة; متارمُحقق ودراسةالأسعار; مراقبةالنوعية فيالصناعاتالغذائية; تسييرالمواردالبشرية; المحاسبة والمالية; مراقبةوتعبئة منتجاتالحليب; التسويق; زراعة الأشجارالمثمرة; صيانةالآلات الفلاحية; مربية الطفولةالأولى,takwin.dz (MFEP)
54,معهدالتعليم المهنيالأغواط,IEPLAGHOUAT,iep,معهد التعليم المهني,IEPLAGHOUAT,0322,public,الأغواط,03,33.80316,2.85804,الطريق الوطني رقم1 الأغواط,ROUTE NATIONALE N°1LAGHOUAT,029108237,029108237,iep032020@gmail.com,,https://www.facebook.com/IEP.LAGHOUAT,82,162,1700,true,300,,takwin.dz (MFEP)
55,مركزالتكوين المهني والتمهين الأغواط1,Centre de Formation Professionnelle et de l'Apprentissage01,cfpa,مركز التكوين المهني والتمهين,CFPA 01LAGHOUAT,0301,public,الأغواط,03,33.799615,2.873964,28طريق غردايةالأغواط,Route GhardaïaLaghouat,029132423,029132424,cfpa01laghouat@gmail.com,,https://www.facebook.com/linani.01,870,806,8000,false,,,takwin.dz (MFEP)
56,مركزالتكوين المهني والتمهين رقم 2الأغواط,Centre de Formation Professionnelle et del'Apprentissage N° 02laghouat,cfpa,مركز التكوين المهني والتمهين,CFPA 2LAGHOUAT,0302,public,الأغواط,03,,,الواحات الشماليةالأغواط,oasis nordLaghouat,029107419,029107248,cfpa2mklaghouat@gmail.com,,https://www.facebook.com/profile.php?id=100076275905261,350,451,9800,true,120,,takwin.dz (MFEP)
57,مركزالتكوين المهني والتمهين للبناتالأغواط,Centre de Formation Professionnelle et del'Apprentissage FEMININLAGHOUAT,cfpa,مركز التكوين المهني والتمهين,CFPA FLAGHOUAT,0304,public,الأغواط,03,33.81073,2.86174,الواحات الشماليةالأغواط,OASIS NORDLAGHOUAT,029107446,029107447,cfpafemininhk@gmail.com,,https://www.facebook.com/profile.php?id=100066807362788,200,420,14547,true,60,,takwin.dz (MFEP)
58,مركزالتكوين المهنيوالتمهين للمعاقينبدنيا,Centre de Formation Professionnelle et de l'ApprentissageMAHBOUBIAHMED,cfpa,مركز التكوين المهني والتمهين,CFPA HANDICAPEESLAGHOUAT,0306,public,الأغواط,03,33.795234,2.852395,الطريق الوطني 01 المقامالأغواط,Route Nationale 01 EL M'KamLaghouat,029145390,029145391,www.cfpahp@gmail.com,,https://www.facebook.com/profile.php?id=100064206934417&mibextid=kFxxJD,250,97,19753,true,120,,takwin.dz (MFEP)
59,مركز التكوينالمهني و التمهينقصر الحيران,Centre de FormationProfessionnelle et de l'Apprentissage KSAR ELHIRANE,cfpa,مركز التكوين المهني والتمهين,CFPAKSAR EL HIRANE LAGHOUAT,0307,public,قصرالحيران,03,33.7866,3.13475,بلدية قصر الحيرانالأغواط,COMMUNE KSAR EL HIRANELAGHOUAT,029122857,029122858,cfpkacerelhiran0307@gmail.com,,https://www.facebook.com/profile.php?id=61568243681929,425,596,11214,true,60,,takwin.dz (MFEP)
60,مركزالتكوينالمهني والتمهينقلتة سيدي سعد,Centre de FormationProfessionnelle et de l'Apprentissage GUELTAT SIDISAAD,cfpa,مركز التكوين المهني والتمهين,CFPA GUELTAT SIDI SAADLAGHOUAT,0305,public,قلتة سيديسعد,03,34.299197,1.947241,الطريق الوطني 23قلتةسيدي سعد,Route Nationale 23Gueltat SidiSaad,029173175,029173299,cfpaguelta03@gmail.com,,https://www.facebook.com/profile.php?id=100063240458572,250,621,11500,true,60,,takwin.dz (MFEP)
