id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,cycle,cycle_label_fr,cycle_label_ar,kind,kind_label_fr,kind_label_ar,isced_levels,sector,address
01-00018,Ecole Primaire,Ecole Primaire,,01,0112,Aoulef,26.973735,1.090155,approximate,osm_centroid,osm,"{""osm"":""relation/11378297""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00019,Ecole Primaire,Ecole Primaire,,01,0112,Aoulef,26.969068,1.0913,approximate,osm_centroid,osm,"{""osm"":""relation/11381653""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00020,CEM Zaouiet Hainoune,CEM Zaouiet Hainoune,اكمالية زاوية حينون,01,0112,Aoulef,26.967356,1.089967,approximate,osm_centroid,osm,"{""osm"":""relation/4028212""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,"اكمالية زاوية حينون CEM Ziet Hainoune, Aoulef 01003"
01-00021,اكمالية الشهيد النوني عبد القادر,CEM Abdelkader Nouni,اكمالية الشهيد النوني عبد القادر,01,0112,Aoulef,26.976243,1.083371,approximate,osm_centroid,osm,"{""osm"":""relation/6419224""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,
01-00022,,,,01,0112,Aoulef,27.016753,1.073822,approximate,osm_centroid,osm,"{""osm"":""relation/6426469""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00023,المدرسة الابدائية الامير عبدالقادر زاوية حينون,Ecole primaire Emir AEK Zaouiet Hainoune,المدرسة الابدائية الامير عبدالقادر زاوية حينون,01,0112,Aoulef,26.963746,1.084696,approximate,osm_centroid,osm,"{""osm"":""relation/6529705""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00024,Ecole primaire Ibn Badis filles,Ecole primaire Ibn Badis filles,المدرسة الابدائية ابن باديس للبنات,01,0112,Aoulef,26.973356,1.082281,approximate,osm_centroid,osm,"{""osm"":""relation/6577106""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,Aoulef 01003
01-00025,,,,01,0104,Reggane,26.817992,0.033308,approximate,osm_centroid,osm,"{""osm"":""way/1193099111""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00026,,,,01,0118,Sali,26.874918,0.005562,approximate,osm_centroid,osm,"{""osm"":""way/1193117327""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00027,,,,01,0118,Sali,26.873384,0.009467,approximate,osm_centroid,osm,"{""osm"":""way/1193117333""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00028,,,,01,0105,In Zghmir,27.041533,-0.08288,approximate,osm_centroid,osm,"{""osm"":""way/1193305363""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00029,,,,01,0105,In Zghmir,27.071628,-0.109299,approximate,osm_centroid,osm,"{""osm"":""way/1193312938""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00030,,,,01,0105,In Zghmir,27.071063,-0.101568,approximate,osm_centroid,osm,"{""osm"":""way/1193312940""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00031,,,,01,0105,In Zghmir,27.108588,-0.123516,approximate,osm_centroid,osm,"{""osm"":""way/1193326530""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00032,,,,01,0105,In Zghmir,27.102711,-0.120815,approximate,osm_centroid,osm,"{""osm"":""way/1193326532""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00033,,,,01,0105,In Zghmir,27.100317,-0.115385,approximate,osm_centroid,osm,"{""osm"":""way/1193326533""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00034,,,,01,0105,In Zghmir,27.094273,-0.116624,approximate,osm_centroid,osm,"{""osm"":""way/1193326542""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00035,,,,01,0105,In Zghmir,27.09213,-0.112535,approximate,osm_centroid,osm,"{""osm"":""way/1193326543""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00036,,,,01,0105,In Zghmir,27.084582,-0.108813,approximate,osm_centroid,osm,"{""osm"":""way/1193326546""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00037,,,,01,0105,In Zghmir,27.117157,-0.127276,approximate,osm_centroid,osm,"{""osm"":""way/1193328365""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00038,,,,01,0105,In Zghmir,27.159073,-0.133609,approximate,osm_centroid,osm,"{""osm"":""way/1193401684""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00039,,,,01,0105,In Zghmir,27.147796,-0.12638,approximate,osm_centroid,osm,"{""osm"":""way/1193401690""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00040,,,,01,0111,Zaouiet Kounta,27.180999,-0.152322,approximate,osm_centroid,osm,"{""osm"":""way/1193405541""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00041,,,,01,0111,Zaouiet Kounta,27.19069,-0.166197,approximate,osm_centroid,osm,"{""osm"":""way/1193405544""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00042,,,,01,0111,Zaouiet Kounta,27.209002,-0.182389,approximate,osm_centroid,osm,"{""osm"":""way/1193507301""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00043,,,,01,0105,In Zghmir,27.15314,-0.132135,approximate,osm_centroid,osm,"{""osm"":""way/1193507312""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00044,,,,01,0111,Zaouiet Kounta,27.208738,-0.173199,approximate,osm_centroid,osm,"{""osm"":""way/1193507327""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00045,,,,01,0111,Zaouiet Kounta,27.241011,-0.20595,approximate,osm_centroid,osm,"{""osm"":""way/1193592269""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00046,,,,01,0111,Zaouiet Kounta,27.268484,-0.201441,approximate,osm_centroid,osm,"{""osm"":""way/1193594639""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00047,,,,01,0111,Zaouiet Kounta,27.318525,-0.219787,approximate,osm_centroid,osm,"{""osm"":""way/1193830899""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00048,,,,01,0111,Zaouiet Kounta,27.378028,-0.180234,approximate,osm_centroid,osm,"{""osm"":""way/1194029058""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00049,,,,01,0111,Zaouiet Kounta,27.406931,-0.18306,approximate,osm_centroid,osm,"{""osm"":""way/1194032610""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00050,,,,01,0111,Zaouiet Kounta,27.419316,-0.242818,approximate,osm_centroid,osm,"{""osm"":""way/1194328986""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00051,,,,01,0111,Zaouiet Kounta,27.411787,-0.256492,approximate,osm_centroid,osm,"{""osm"":""way/1194328987""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00052,,,,01,0111,Zaouiet Kounta,27.385043,-0.24412,approximate,osm_centroid,osm,"{""osm"":""way/1194329002""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00053,,,,01,0111,Zaouiet Kounta,27.448723,-0.263228,approximate,osm_centroid,osm,"{""osm"":""way/1194336900""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00054,,,,01,0111,Zaouiet Kounta,27.426965,-0.245859,approximate,osm_centroid,osm,"{""osm"":""way/1194336916""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00055,,,,01,0111,Zaouiet Kounta,27.466988,-0.267759,approximate,osm_centroid,osm,"{""osm"":""way/1194371412""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00056,,,,01,0114,Tamantit,27.605694,-0.307137,approximate,osm_centroid,osm,"{""osm"":""way/1194947108""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00057,,,,01,0114,Tamantit,27.6644,-0.318823,approximate,osm_centroid,osm,"{""osm"":""way/1195128510""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00058,,,,01,0114,Tamantit,27.715196,-0.272,approximate,osm_centroid,osm,"{""osm"":""way/1195216157""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00059,,,,01,0114,Tamantit,27.797995,-0.25433,approximate,osm_centroid,osm,"{""osm"":""way/1195313614""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00060,,,,01,0113,Timekten,27.01805,1.015006,approximate,osm_centroid,osm,"{""osm"":""way/1201136505""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00061,,,,01,0113,Timekten,27.022631,1.012287,approximate,osm_centroid,osm,"{""osm"":""way/1201136507""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00062,,,,01,0113,Timekten,27.026101,1.055572,approximate,osm_centroid,osm,"{""osm"":""way/1201187959""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00063,,,,01,0113,Timekten,27.024655,1.068286,approximate,osm_centroid,osm,"{""osm"":""way/1201187960""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00064,Ecole primaire Ibn Badis Garçons,Ecole primaire Ibn Badis Garçons,المدرسةالابتدائية ابن باديس للذكور,01,0112,Aoulef,26.971916,1.081811,approximate,osm_centroid,osm,"{""osm"":""way/296926263""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,Aoulef 01003
01-00065,المدرسة الابدائية محمد بوضياف,Ecole Mohamed Boudiaf,المدرسة الابدائية محمد بوضياف,01,0112,Aoulef,26.962922,1.087211,approximate,osm_centroid,osm,"{""osm"":""way/296957086""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00066,Salle Polyvalente 11 Décembre 1961,Salle Polyvalente 11 Décembre 1961,القاعة متعددة النشاطات 11 ديسمبر 1961,01,0112,Aoulef,26.972533,1.083069,approximate,osm_centroid,osm,"{""osm"":""way/297716874""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00067,المدرسة الابتدائية شيخ عبد الكريم المغيلي تقراف,,المدرسة الابتدائية شيخ عبد الكريم المغيلي تقراف,01,0112,Aoulef,26.981232,1.079384,approximate,osm_centroid,osm,"{""osm"":""way/299497843""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00068,,,,01,0114,Tamantit,27.709101,-0.276279,approximate,osm_centroid,osm,"{""osm"":""way/304696022""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00069,Salle Polyvalente 19 Mars 1962,Salle Polyvalente 19 Mars 1962,القاعة متعددة النشاطات 20 اوت 1956,01,0112,Aoulef,26.967283,1.078929,approximate,osm_centroid,osm,"{""osm"":""way/305133356""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00070,Technicum Hakoumi-Laid,Technicum Hakoumi-Laid,,01,0101,Adrar,27.87269,-0.277273,approximate,osm_centroid,osm,"{""osm"":""way/313240738""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,
01-00071,Lycée khaled Ibn El Oualid,Lycée khaled Ibn El Oualid,ثانوية خالد بن الوليد,01,0101,Adrar,27.876025,-0.298137,approximate,osm_centroid,osm,"{""osm"":""way/313872253""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,
01-00072,ابتدائية زاوية كنتة,Élémentaire Zaouiet Kounta,ابتدائية زاوية كنتة,01,0111,Zaouiet Kounta,27.22893,-0.193006,approximate,osm_centroid,osm,"{""osm"":""way/331824648""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,زاوية كنتة
01-00073,ثانوية عبيدي محمد بزاوية كنتة,Lycée Abidi Mohamed,ثانوية عبيدي محمد بزاوية كنتة,01,0111,Zaouiet Kounta,27.233303,-0.194063,approximate,osm_centroid,osm,"{""osm"":""way/332247500""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,زاوية كنتة
01-00074,متوسطة مرابطي محمد البركة بزاوية كنتة,CEM Mohamed Barka Mourabiti,متوسطة مرابطي محمد البركة بزاوية كنتة,01,0111,Zaouiet Kounta,27.234333,-0.192694,approximate,osm_centroid,osm,"{""osm"":""way/332247908""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,زاوية كنتة
01-00075,ابتدائية ابن سينا,Élémentaire Ibn Sina,ابتدائية ابن سينا,01,0111,Zaouiet Kounta,27.226655,-0.19167,approximate,osm_centroid,osm,"{""osm"":""way/332249324""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,زاوية كنتة
01-00076,متوسطة الشيخ بن عبد الكريم المغيلي,CEM Cheikh Abdelkrim El Maghili,متوسطة الشيخ بن عبد الكريم المغيلي,01,0111,Zaouiet Kounta,27.226207,-0.189921,approximate,osm_centroid,osm,"{""osm"":""way/332249582""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,زاوية كنتة
01-00077,ثانوية الشيخ العلامة الحاج أمحمد بن المصطفى الكنتي,Lycée Cheikh Hadj Ahmed,ثانوية الشيخ العلامة الحاج أمحمد بن المصطفى الكنتي,01,0111,Zaouiet Kounta,27.222859,-0.187061,approximate,osm_centroid,osm,"{""osm"":""way/332249982""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,زاوية كنتة
01-00078,المدرسة المتوسطة معروف مبارك,CEM maarf mebark,المدرسة المتوسطة معروف مبارك,01,0114,Tamantit,27.491495,-0.282031,approximate,osm_centroid,osm,"{""osm"":""way/356076476""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,2,,قصر بوعمور
01-00079,,,,01,0114,Tamantit,27.496059,-0.282867,approximate,osm_centroid,osm,"{""osm"":""way/356076525""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00080,ابتدائية بودة المنصور,Primaire Bouda El Mansour,ابتدائية بودة المنصور,01,0122,Bouda,27.954959,-0.424144,approximate,osm_centroid,osm,"{""osm"":""way/356633065""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00081,المدرسة الابتدائية الشيخ عبد القادر الجيلالي,École primaire Cheikh Abdelkader Al-Jilani,المدرسة الابتدائية الشيخ عبد القادر الجيلالي,01,0111,Zaouiet Kounta,27.409941,-0.183602,approximate,osm_centroid,osm,"{""osm"":""way/364827863""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,تيطاف
01-00082,,,,01,0114,Tamantit,27.741656,-0.27456,approximate,osm_centroid,osm,"{""osm"":""way/375540554""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00083,,,,01,0111,Zaouiet Kounta,27.394297,-0.184163,approximate,osm_centroid,osm,"{""osm"":""way/375542858""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00084,ثانوية المغيلي,Lycée El Maghili,ثانوية المغيلي,01,0101,Adrar,27.880638,-0.284403,approximate,osm_centroid,osm,"{""osm"":""way/376602501""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,,,أدرار
01-00085,,,,01,0122,Bouda,28.003775,-0.41965,approximate,osm_centroid,osm,"{""osm"":""way/386526937""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00086,ابتدائية أسماء بنت أبي بكر,École primaire Asma,ابتدائية أسماء بنت أبي بكر,01,0101,Adrar,27.88973,-0.274772,approximate,osm_centroid,osm,"{""osm"":""way/387324443""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,أدرار
01-00087,متوسطة أولاد علي,CEM Ouled Ali,متوسطة أولاد علي,01,0101,Adrar,27.867574,-0.276267,approximate,osm_centroid,osm,"{""osm"":""way/387344819""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,,,
01-00088,,,,01,0101,Adrar,27.86659,-0.275419,approximate,osm_centroid,osm,"{""osm"":""way/387344825""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00089,CEM Faraj Allah,CEM Faraj Allah,,01,0101,Adrar,27.894739,-0.273973,approximate,osm_centroid,osm,"{""osm"":""way/387351670""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,2,,
01-00090,ابتدائية قويدري قويدر,École primaire Kouidri Kouider,ابتدائية قويدري قويدر,01,0101,Adrar,27.893732,-0.275486,approximate,osm_centroid,osm,"{""osm"":""way/387352059""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00091,Lycée,École secondaire,ثانوية قروط بوعلام,01,0101,Adrar,27.875983,-0.26175,approximate,osm_centroid,osm,"{""osm"":""way/387425970""}",secondaire,Lycée,ثانوية,regular,École ordinaire,مدرسة عادية,3,,
01-00092,Ecole primaire,École primaire,,01,0101,Adrar,27.877902,-0.28714,approximate,osm_centroid,osm,"{""osm"":""way/387653873""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00093,École Larbi ben M'hidi,École Larbi ben M'hidi,مدرسة العربي بن مهيدي,01,0112,Aoulef,26.711089,1.369994,approximate,osm_centroid,osm,"{""osm"":""way/403614654""}",primaire,École primaire,مدرسة ابتدائية,regular,École ordinaire,مدرسة عادية,,,
01-00094,,,,01,0113,Timekten,27.040001,1.048533,approximate,osm_centroid,osm,"{""osm"":""way/431222345""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00095,,,,01,0113,Timekten,27.03982,1.046311,approximate,osm_centroid,osm,"{""osm"":""way/431225050""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00096,,,,01,0113,Timekten,27.028841,1.036724,approximate,osm_centroid,osm,"{""osm"":""way/431398106""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00097,,,,01,0121,Ouled Ahmed Timmi,27.886571,1.167881,approximate,osm_centroid,osm,"{""osm"":""way/431694893""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00098,,,,01,0112,Aoulef,26.707435,1.344424,approximate,osm_centroid,osm,"{""osm"":""way/431720498""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00099,,,,01,0112,Aoulef,26.943856,1.486841,approximate,osm_centroid,osm,"{""osm"":""way/431854354""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00100,,,,01,0113,Timekten,27.832152,1.266998,approximate,osm_centroid,osm,"{""osm"":""way/432061756""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00101,CEM HAKKOUMI KADDOUR,CEM HAKKOUMI KADDOUR,,01,0101,Adrar,27.88426,-0.309912,approximate,osm_centroid,osm,"{""osm"":""way/432336622""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,2,,
01-00102,CEM Adgha,CEM Adgha,,01,0101,Adrar,27.868779,-0.296758,approximate,osm_centroid,osm,"{""osm"":""way/432365294""}",moyen,Collège d'enseignement moyen (CEM),متوسطة,regular,École ordinaire,مدرسة عادية,2,,
01-00103,أبو عبيدة بن الجراح,Abou Obeida ibn al-Djarrah,أبو عبيدة بن الجراح,01,0101,Adrar,27.873986,-0.307521,approximate,osm_centroid,osm,"{""osm"":""way/432370211""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
01-00104,الونقالي محمد الامين,El Ounguali Mohamed El Amine,الونقالي محمد الامين,01,0101,Adrar,27.866058,-0.294662,approximate,osm_centroid,osm,"{""osm"":""way/432380024""}",autre,École (cycle non précisé),مدرسة (المستوى غير محدّد),regular,École ordinaire,مدرسة عادية,,,
