id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,type,code,address,phone,fax,email,manager,communes
03-02,ALEM AFLOU,03,,,34.11215,2.08051,exact,anem,anem,ALEM,0302,cité de l’indépendance 02  -  Aflou,(029) 172 - 249,(029) 172 - 273,alem.aflou@anem.dz,BEDRANI MOHAMED,"AFLOU,AIN SIDI ALI,BEIDHA,BRIDA,EL GHICHA,GUELTAT SIDI SAAD,HADJ MECHRI,OUED MORRA,OUED MZI,SEBGAG,SIDI BOUZID,TAOUILA"
03-03,ALEM HASSI R'MEL,03,,,33.26928,3.19591,exact,anem,anem,ALEM,0303,Nouvelle ville - Oued Bellil – Hassi R’mel,(029) 182 - 158,(029) 982 - 168/(029) 182 - 154,alem.hassirmel@anem.dz,BENSLIMANE Abderrahmane,"HASSI DHELAA,HASSI RMEL"
03-04,ALEM KSAR EL HIRANE,03,,,33.79167,3.1436,exact,anem,anem,ALEM,0304,Cité Djenidi Lakhdar - Ksar El Hirane,(029) 139 - 483,(029) 139 - 483,alem.ksarelhirane@anem.dz,LAYADI SLIMANE,"KSAR EL HIRANE,BENNASSER BEN CHOHRA"
04-01,ALEM OUM EL BOUAGHI,04,,,35.87428,7.09317,exact,anem,anem,ALEM,0401,La nouvelle ville POS B en face de l’Université Larbi Ben M’hidi – O.E.B,(032) 541 - 579,(032) 541 - 579,alem.oumelbouaghi@anem.dz,KALI YOUNES,"AIN BABOUCHE,AIN DISS,AIN FAKROUN,AIN ZITOUN,EL FEDJOUDJ BOUGHRARA SAOUDI,HANCHIR TOUMGHANI,KSAR SBAHI,OUM EL BOUAGHI"
04-02,ALEM AIN BEIDA,04,,,35.79152,7.37774,exact,anem,anem,ALEM,0402,Cité des 100 logts  SATO -  Ain El Beida,(032) 682 - 104,(032) 682 - 105/(032) 682 - 108,alem.ainbeida@anem.dz,BELKHIRI Samir,"AIN BEIDA,BERRICHE,EL ZORG,FKIRINA,OUED NINI"
04-03,ALEM AIN MLILA,04,,,36.03502,6.57377,exact,anem,anem,ALEM,0403,Rue Larbi Ben M’hidi - Ain M’lila,(032) 502 - 289,(032) 502 - 037,alem.ainmlila@anem.dz,MAAMERI AMIRA,"AIN KERCHA,AIN MLILA,BIR CHOUHADA,EL HARMILIA,OULED GACEM,OULED HAMLA,OULED ZOUAI,SIGUS,SOUK NAAMANE,EL AMIRIA"
04-04,ALEM MESKIANA,04,,,35.62891,7.6657,exact,anem,anem,ALEM,0404,Cité des 100 logts – Bt Administratif N° 08 - Meskiana,(032) 471 - 599,(032) 471 - 599,alem.meskiana@anem.dz,AISSAOUI AISSA,"BEHIR CHERGUI,DHALAA,EL BELALA,EL DJEZIA,MESKIANA,REHIA"
05-01,ALEM BATNA,05,,,35.53294,6.16281,exact,anem,anem,ALEM,0501,Cité des 1200 Logements - Batna,(033) 301-269,(033) 301 - 269,alem.batna@anem.dz,LAAMARI SAMIRA,"AIN YAGOUT,BATNA,BOULEHILET,BOUMIA,CHEMORA,DJERMA,EL MADHER,FESDIS,OUED CHAABA,OULED FADEL,OUYOUN EL ASSAFIR,SERIANA,TAZOULT,TIMGAD"
05-02,ALEM BARIKA,05,,,35.38662,5.36762,exact,anem,anem,ALEM,0502,Rue Lichani Rabah - Barika,(033) 386 - 361,(033) 386 - 361,alem.barika@anem.dz,ZEGHDOUD ZAHIA,"BARIKA,BITAM,DJEZZAR,MDOUKAL,METKAOUAK,OULED AMMAR,SEGGANA"
05-03,ALEM N'GAOUS,05,,,35.54955,5.62766,exact,anem,anem,ALEM,0503,Ras  El  Ain -  N’Gaous,(033) 362 - 619,(033) 362 - 619,alem.ngaous@anem.dz,MANAA ZOHIR,"BOUMAGUER,NGAOUS,OULED SI SLIMANE,SEFIANE"
05-04,ALEM ARRIS,05,,,35.26171,6.35762,exact,anem,anem,ALEM,0504,Cité Dharaa Ezzitoune - Arris,(033) 345 - 002,(033) 345 - 002,alem.arris@anem.dz,BOUDARN MOHAMMED ELHACHEMI,"ARRIS,BOUZINA,CHIR,FOUM TOUB,GHASSIRA,ICHEMOUL,INOUGHISSENE,KIMMEL,LARBAA,MENAA,OUED TAGA,THENIET EL ABED,TIGHANIMINE,TIGHARGHAR,TKOUT"
05-05,ALEM MEROUANA,05,,,35.63197,5.91378,exact,anem,anem,ALEM,0505,Locaux Commerciaux - Cité el moudjahidine - Merouana,(033) 831 - 718,(033) 831 - 718,alem.merouana@anem.dz,HEMICHE ABDELALI,"HIDOUSSA,KSAR BELEZMA,MEROUANA,OUED EL MA,TAXLENT"
05-06,ALEM AIN TOUTA,05,,,35.37818,5.89697,exact,anem,anem,ALEM,0506,Rue Louchene Taher- Ain Touta,(033) 355 - 216,(033) 355 - 216,alem.aintouta@anem.dz,YAHIAOUI ABDELOUAHAB,"AIN TOUTA,BENI FOUDHALA EL HAKANIA,MAAFA,OULED AOUF,TILATOU"
05-07,ALEM RAS EL AIOUN,05,,,35.67128,5.65019,exact,anem,anem,ALEM,0507,cité manifestation - Ras EL Aioun,(033) 370 - 357,(033) 370 - 357,alem.raslayoun@anem.dz,GHEBACHE HAROUN,"GOSBAT,GUIGBA,LEMCEN,RAHBAT,RAS EL AIOUN,TALKHEMT"
05-08,ALEM AIN DJASSER,05,,,35.85,6,approximate,anem,anem,ALEM,0508,Rue du 1er Novembre - Ain Djasser,(033) 245 - 268,(033) 245 - 268,alem.aindjasser@anem.dz,BENAMARA KAMAL,"AIN DJASSER,EL HASSI,LAZROU,OULED SELLAM,ZANA EL BEIDA"
06-01,ALEM BEJAIA,06,,,36.74492,5.04814,exact,anem,anem,ALEM,0601,"Centre d’affaires ""big center"" - Rez de chaussée - Bd Krim Belkacem - Béjaia",(034) 113 - 256,(034) 113-256,alem.bejaia@anem.dz,BENSALEM MALEK,"BEJAIA,BENI KSILA,BOUKHELIFA,OUED GHIR,TALA HAMZA,TICHI,TOUDJA"
06-02,ALEM AKBOU,06,,,36.46261,4.50394,exact,anem,anem,ALEM,0602,"Cité des 120 Lgts ""Ex caserne"" en face de la Sonelgaz",(034) 187 - 951,(034) 187 - 951,alem.akbou@anem.dz,KHELOUI RABAH,"AKBOU,AMALOU,BENI MAOUCHE,BOUHAMZA,CHELATA,IGHRAM,M CISNA,OUZELLAGUEN,SEDDOUK,TAMOKRA"
06-03,ALEM SIDI AICH,06,,,36.60817,4.68801,exact,anem,anem,ALEM,0603,15/500 logt RHP maala-sidi Aich,(034) 869 - 113,(034) 869 - 114,alem.sidiaich@anem.dz,SADOUN ZAHIA,"ADEKAR,AKFADOU,CHEMINI,LEFLAYE,SIDI AICH,SIDI AYAD,SOUK OUFELLA,TIBANE,TIFRA,TINEBDAR"
06-04,ALEM KHERRATA,06,,,36.47981,5.26416,exact,anem,anem,ALEM,0604,"Cite des 60/600 Lgts Bt B, Local 65,66,67,68 - EPLF - Kherrata",(034) 159 - 103,(034) 159 - 102,alem.kherrata@anem.dz,SLAMANI MOURAD,"AIT SMAIL,DRAA EL KAID,KHERRATA,TASKRIOUT"
06-05,ALEM TAZMALT,06,,,36.38472,4.40053,exact,anem,anem,ALEM,0605,Rue MEZIANE CHABANE - Tazmalt,(034) 317 - 001,(034) 317 - 157,alem.tazmalt@anem.dz,BOUAZIZ MAAMAR,"AIT R_ZINE,BENI MELIKECH,BOUDJELLIL,IGHIL ALI,TAZMALT"
06-06,ALEM EL KSEUR,06,,,36.67568,4.85504,exact,anem,anem,ALEM,0606,Centre commercial  Lot. 130/131 El Kseur,(034) 823 - 230,(034) 823 - 151,alem.elkseur@anem.dz,MIRA CHERIF,"AMIZOUR,BARBACHA,BENI DJELLIL,EL KSEUR,FERRAOUN,IFELAIN ILMATHEN,KENDIRA,SEMAOUNE,TAOURIRT IGHIL,TIMZRIT"
06-07,ALEM Souk El Ténine,06,,,36.62752,5.33017,exact,anem,anem,ALEM,0607,programme 80 logts lpa bloc B,(034) 238 - 255,(034) 238 - 254,alem.soukeltenine@anem.dz,METIDJI Abdelghani,"AOKAS,DARGUINA,MELBOU,SOUK EL TENINE,TAMRIDJET,TIZI NBERBER"
07-01,ALEM BISKRA,07,,,34.84556,5.69976,exact,anem,anem,ALEM,0701,Cité Saada - EL KORS - BISKRA,(033) 655 -868,(033) 655 -877,alem.biskra@anem.dz,NASRI KHALIL,"BISKRA,CHETMA,EL HADJEB,EL HAOUCH,M_CHOUNECHE,MLILI,OUGHLAL,OUMACHE,SIDI OKBA"
07-02,ALEM EL KANTARA,07,,,35.21655,5.71741,exact,anem,anem,ALEM,0703,Cité 1er Novembre 1954  - El Kantara,(033) 696 - 077,(033) 696 - 077,alem.elkantara@anem.dz,DJOUDI NOUREDDINE,"AIN ZAATOUT,BRANIS,DJEMORAH,EL KANTARA,EL OUTAYA"
07-03,ALEM ZERIBET EL OUED,07,,,34.68465,6.51069,exact,anem,anem,ALEM,0704,Rue Saidi Noui - Cité Nouvelle - ZERIBET EL OUED,(033) 553 - 316,(033) 553 - 317,alem.zeribeteloued@anem.dz,REFFAS Ahmed,"AIN NAGA,EL FEIDH,KHANGAT SIDI NADJI,M_ZIRAA,ZERIBET EL OUED"
07-04,ALEM TOLGA,07,,,34.73079,5.38055,exact,anem,anem,ALEM,0705,Avenue Si El Haoués - Tolga,(033) 594 - 118,(033) 594 - 119,alem.tolga@anem.dz,TALEB TAREK,"BORDJ BEN AZZOUZ,BOUCHAGROUN,EL GHROUS,FOUGHALA,LICHANA,LIOUA,MEKHADMA,TOLGA"
08-01,ALEM Bechar,08,,,31.58995,-2.24236,exact,anem,anem,ALEM,0801,La zone bleu bp 498 bechar,(049) 206 - 128,(049) 206 - 128,alem.bechar@anem.dz,MASMOUDI Abdelkader,"BECHAR,BOUKAIS,KENADSA,LAHMAR,MERIDJA,MOUGHEUL"
08-02,ALEM ABADLA,08,,,31.0255,-2.70478,exact,anem,anem,ALEM,0802,Hai SaLEM - Abadla,(049) 256 - 738,(049) 257 - 971,alem.abadla@anem.dz,BENYAHIA MOHAMMED,"ABADLA,ERG FERRADJ,MECHRAA HOUARI BOUMEDIENE,TABELBALA"
08-03,ALEM TAGHIT,08,,,30.92001,-2.02941,exact,anem,anem,ALEM,0803,Taghit centre - Taghit,(049) 253 - 529,(049) 253 - 466,alem.taghit@anem.dz,BELBOUKHARI SLIMANE,TAGHIT
08-04,ALEM BENI OUNIF,08,,,32.05471,-1.28171,exact,anem,anem,ALEM,0804,Rue Commandant Boucherit – Béni Ounif,(049) 252 - 243,(049) 252 - 243,alem.beniounif@anem.dz,HASSI MOKHTAR,BENI OUNIF
09-01,ALEM BLIDA,09,,,36.48,2.84,approximate,anem,anem,ALEM,0901,"97, rue Yousfi Abdelkader  - Blida",(025) 225 - 777,(025) 225 - 776,alem.blida@anem.dz,BOUMEDANE HICHEM,"BENI TAMOU,BLIDA,BOUARFA,OUED EL ALLEUG"
09-02,ALEM BOUFARIK,09,,,36.58,2.91,approximate,anem,anem,ALEM,0902,"07, rue Si Smail - Boufarik",(025) 481 - 950,(025) 481 - 966,alem.boufarik@anem.dz,BENBEKHMA AMAR,"BEN KHELIL,BOUFARIK,CHEBLI,GUERROUAOU,SOUMAA"
09-03,ALEM EL AFFROUN,09,,,36.47159,2.62617,exact,anem,anem,ALEM,0903,Rue Kaibou Mohammed   El Affroun-blida,(025) 382 - 251,(025) 382 - 251,alem.elaffroun@anem.dz,BOURAHLA MOHAMED,"AIN ROMANA,EL AFFROUN,OUED DJER"
09-04,ALEM LARBAA,09,,,36.56001,3.15999,exact,anem,anem,ALEM,0904,Cité  des 300 logements - Djiboulou - Larbaa,(025) 340 - 527,(025) 340 - 680,alem.larbaa@anem.dz,KESRI BILEL,"BOUGARA,DJEBABRA,HAMMAM MELOUANE,LARBAA,MEFTAH,OULED SLAMA,SOUHANE"
09-05,ALEM BOUINAN,09,,,36.49,2.86,approximate,anem,anem,ALEM,0905,Cité des 402 logts - Ouled Yaich- Blida,(025) 435 - 435,(025) 437 - 437,alem.bouinane@anem.dz,BEN AICHA HAMZA,"BENI MERED,BOUINAN,CHREA,OULED YAICH"
09-06,ALEM MOUZAIA,09,,,36.46545,2.68169,exact,anem,anem,ALEM,0906,cite 200 logements mouzaia-blida,(025) 248 - 514,(025) 248 - 513,alem.mouzaia@anem.dz,TAHIR BILLAL,"CHIFFA,MOUZAIA"
10-01,ALEM BOUIRA,10,,,36.37845,3.90231,exact,anem,anem,ALEM,1001,01 rue Med Zammoum - Bouira,(026) 730 - 891,(026) 730 - 890,alem.bouira@anem.dz,BOUDIAF LAMINE,"AHL EL KSAR,AIN TURK,AIT LAAZIZ,BECHLOUL,BOUIRA,EL ASNAM,HAIZER,OULED RACHED,TAGHZOUT"
10-02,ALEM AIN BESSEM,10,,,36.29624,3.68197,exact,anem,anem,ALEM,1002,Cité SAAD MESSILI  – Ain Béssam,(026) 875 - 270,(026) 875 - 270,alem.ainbessam@anem.dz,MEDJRAS HOCINE,"AIN BESSAM,AIN EL HADJAR,AIN LALOUI,BIR GHBALOU,EL HACHIMIA,EL KHABOUZIA,EL MOKRANI,OUED EL BERDI,RAOURAOUA,SOUK EL KHEMIS"
10-03,ALEM LAKHDARIA,10,,,36.56439,3.59384,exact,anem,anem,ALEM,1003,"Cité des 50 Logts LSP Local N° 43, Bloc A1 -Hamana Lakhdaria",(026) 705 - 292,(026) 705 - 292,alem.lakhdaria@anem.dz,MERROUCHE NAOUEL,"AOMAR,BOUDERBALA,BOUKRAM,DJEBAHIA,GUERROUMA,KADIRIA,LAKHDARIA,MAALA,ZBARBAR"
10-04,ALEM M'CHEDELLAH,10,,,36.35855,4.27297,exact,anem,anem,ALEM,1004,Route Nationale N° 30  – M’Chedellah,(026) 793 - 036,(026) 793 - 036,alem.mechdellah@anem.dz,OUARAB KAMEL,"AGHBALOU,ATH MANSOUR,CHORFA,EL ADJIBA,HANIF,MCHEDALLAH,SAHARIDJ"
10-05,ALEM SOUR EL GHOZLANE,10,,,36.14722,3.69056,exact,anem,anem,ALEM,1005,Boulevard Emir Abdelkader – Sour El Ghozlane,(026) 756 - 218,(026) 756 - 218,alem.sourelghozlane@anem.dz,BELAMOURI DJAMILA,"DECHMIA,DIRAH,EL HAKIMIA,MAAMORA,RIDANE,SOUR EL GHOZLANE"
10-06,ALEM BORDJ OKHRIS,10,,,36.08288,3.97376,exact,anem,anem,ALEM,1006,Cité Amiar Essalam - Bordj Okhris,(026) 751 - 030,(026) 751 - 030,alem.bordjkhris@anem.dz,BELKHIRI AHMED,"BORDJ OUKHRISS,HADJERA ZERGA,MEZDOUR,TAGUEDIT"
11-01,ALEM TAMANRASSET,11,,,22.7938,5.53933,exact,anem,anem,ALEM,1101,Centre ville Tamanrasset,(029) 303 -122,(029) 303 -122,alem.tamanrasset@anem.dz,DADAOUALI ABDERRAHMANE,"ABALESSA,IDLES,IN AMGUEL,TAMANRASSET,TAZROUK"
12-01,ALEM TEBESSA,12,,,35.40783,8.10987,exact,anem,anem,ALEM,1201,ex el mohafadha route de constantine tebessa,(037) 591 - 625,(037) 592 - 616,alem.tebessa@anem.dz,ZANAT HOUSSAM EDDINE,"BEKKARIA,BIR DHEHEB,BOULHAF DYR,EL HOUIDJBET,EL KOUIF,HAMMAMET,MORSOT,TEBESSA"
12-02,ALEM BIR EL ATER,12,,,34.75207,8.05845,exact,anem,anem,ALEM,1202,Cité daira - Bir El Ater,(037) 447 - 994,(037) 447 - 994,alem.birelater@anem.dz,HAMZA HICHEM,"BIR EL ATER,FERKANE,NEGRINE,SAFSAF EL OUESRA"
12-03,ALEM OUENZA,12,,,35.95,8.11667,approximate,anem,anem,ALEM,1203,Cité Centrale - Ex Sonitex- El Ouenza,(037) 671 - 399,(037) 761 - 456,alem.elouenza@anem.dz,MAALEM LATIFA,"AIN ZERGA,BOUKHADRA,EL AOUINET,EL MERIDJ,EL OUENZA"
12-04,ALEM CHERIA,12,,,35.26939,7.74998,exact,anem,anem,ALEM,1204,Ex siége social de l,(037) 621 - 415,(037) 622 - 927,alem.cheria@anem.dz,ABID HOUSNI,"BEDJENE,BIR MOKADEM,CHERIA,EL MAZERAA,EL OGLA,GOURIGUEUR,STAH GUENTIS,THLIDJENE"
12-05,ALEM EL MA LABIODH,12,,,35.20495,8.16633,exact,anem,anem,ALEM,1205,Cité Ben Djedda M’henia – El Ma Labiod,(037) 522 - 719,(037) 525 - 821,alem.elmalabiadh@anem.dz,BETTICHE ABDENNOUR,"EL MA LABIOD,EL OGLA EL MALHA,OUM ALI"
13-01,ALEM TLEMCEN,13,,,34.88049,-1.34449,exact,anem,anem,ALEM,1301,Cité 1060 Logts ex Casnos – Imama -Tlemcen,(043) 381 - 687,(043) 381 - 684,alem.tlemcen@anem.dz,CHIKHAOUI ABDELAZIZ,"AIN FEZZA,AMIEUR,CHETOUANE,TLEMCEN"
13-02,ALEM GHAZAOUET,13,,,35.09937,-1.86065,exact,anem,anem,ALEM,1302,Place du colonel Abbes - Ghazaouet,(043) 467 - 723 /,(043) 467 - 721,alem.ghazaouet@anem.dz,DJEBBAR KAMAL,"AIN FETAH,AIN KEBIRA,BAB EL ASSA,DAR YAGHMOURASSENE,DJEBALA,FELLAOUCENE,GHAZAOUET,MERSA BEN MHIDI,MSIRDA FOUAGA,NEDROMA,SOUAHLIA,SOUK THLATA,TIENET"
13-03,ALEM MAGHNIA,13,,,34.85216,-1.73022,exact,anem,anem,ALEM,1303,"67, Bd Mohamed Boudiaf - Maghnia",(043) 397 - 695,(043) 313 - 083,alem.maghnia@anem.dz,ZENAGUI LAHCENE,"BENI BOUSSAID,HAMMAM BOUGHRARA,MAGHNIA,SIDI MEDJAHED,SOUANI"
13-04,ALEM SABRA,13,,,34.82827,-1.52569,exact,anem,anem,ALEM,1304,Rue Negadi Bachir - Sabra,(043) 531 - 722,(043) 531 - 721,alem.sabra@anem.dz,CHERIFI OKACHA,"BOUHLOU,SABRA"
13-05,ALEM REMCHI,13,,,35.05787,-1.42709,exact,anem,anem,ALEM,1305,Boulevard Zighoud Youcef - Remchi,(043) 437 - 186,(043) 437 - 462,alem.remchi@anem.dz,BENNACER MOHAMED,"AIN YOUCEF,BENI KHELLAD,BENI OUARSOUS,EL FEHOUL,HENAYA,HONAINE,OULED RIAH,REMCHI,SEBAA CHIOUKH,ZENATA"
13-06,ALEM SEBDOU,13,,,34.63918,-1.33263,exact,anem,anem,ALEM,1306,16 Rue cheikh Larbi Tebessi - Sebdou,(043) 544 - 314,(043) 544 - 457,alem.sebdou@anem.dz,HESSENAOUI ABDELAZIZ,"EL ARICHA,EL BOUIHI,EL GOR,SEBDOU,SIDI DJILLALI"
13-07,ALEM OULED MIMOUNE,13,,,34.90206,-1.03664,exact,anem,anem,ALEM,1307,Siège de la daira - Ouled Mimoun,(043) 364 - 433,(043) 362 - 211,alem.ouledmimoun@anem.dz,SAIDI MOHAMED,"AIN NEHALA,AIN TALLOUT,BENI SEMIEL,BENSEKRANE,OUED CHOULY,OULED MIMOUN,SIDI ABDELLI"
13-08,ALEM MANSOURAH 13,13,,,34.87746,-1.35599,exact,anem,anem,ALEM,1308,cité administrative BOUHANAK,(043) 216 - 969,(043) 216 - 969,ALEM.Mansourah13@anem.dz,HEDADJI Khaled,"AIN GHORABA,BENI MESTER,MANSOURAH,TERNI BENI HEDIEL"
13-09,ALEM BENI SNOUS,13,,,34.64325,-1.56296,exact,anem,anem,ALEM,1309,Siège Annexe APC EL-KHEMIS BENI SNOUS,(043) 341 - 128,(043) 341 - 128,alem.benisnous@anem.dz,ELHABIRI KHALED,"AZAILS,BENI BAHDEL,BENI SNOUS"
14-01,ALEM TIARET,14,,,35.36598,1.33292,exact,anem,anem,ALEM,1401,Cité du nouveau stade -les préfabriqués - Tiaret,(046) 255 - 487,(Non renseigné),alem.tiaret@anem.dz,HAMEL DJAOUAD,"AIN BOUCHEKIF,DAHMOUNI,DJILLALI BEN AMAR,GUERTOUFA,MACHRAA SFA,MEGHILA,MELLAKOU,OUED LILLI,RAHOUIA,SEBT,SIDI ALI MELLAL,SIDI HOSNI,TAGDEMT,TIARET,TIDDA"
14-02,ALEM FRENDA,14,,,35.06227,1.04893,exact,anem,anem,ALEM,1402,Rue Bayat Mohamed - Frenda,(046) 306 - 287,(046) 306 - 289/(046) 306 - 286,alem.frenda@anem.dz,CHIBI LOTFI,"AIN EL HADID,AIN KERMES,DJEBILET ROSFA,FRENDA,MADNA,MEDRISSA,MEDROUSSA,SIDI ABDERRAHMANE,SIDI BAKHTI,TAKHMARET"
14-03,ALEM KSAR CHELLALA,14,,,35.21407,2.31744,exact,anem,anem,ALEM,1403,Cité Administrative -  Ksar Chellala,(046) 364 - 735,(046) 364 - 734,alem.ksarchellala@anem.dz,MAZOUZI LAKHDAR,"KSAR CHELLALA,RECHAIGA,SERGHINE,ZMALET EMIR ABDELKADER"
14-04,ALEM SOUGUEUR,14,,,35.188,1.4983,exact,anem,anem,ALEM,1404,Boulevard Sidi Abed El Ghani - Sougueur,(046) 436 - 795,(046) 436 - 217/(046) 438 - 421,alem.sougueur@anem.dz,BELGACEM KHALED,"AIN DEHEB,CHEHAIMA,FAIDJA,NAIMA,SIDI  ABDELGHANI,SOUGUEUR,TOUSNINA"
14-05,ALEM MAHDIA,14,,,35.42755,1.75179,exact,anem,anem,ALEM,1405,"Rue Si El- Haoués, Ex siège de l’APC - Mahdia",(046) 464 - 545,(046) 464 - 537,alem.mahdia@anem.dz,HASSACI MOKHTAR,"AIN ZARIT,BOUGARA,HAMADIA,MAHDIA,NADORAH,SEBAINE"
15-01,ALEM TIZI OUZOU,15,,,36.71,4.05,approximate,anem,anem,ALEM,1501,01 boulevard  Haddadou Med Arezki – Tizi Ouzou,(026) 127 - 034,(026) 122 - 017,alem.tiziouzou@anem.dz,SI HADJ MOHAND AHMED,"AIT AISSA MIMOUN,AIT MAHMOUD,BENI AISSI,BENI DOUALA,BENI-ZEMANZER,OUAGUENOUN,TIMIZART,TIZI OUZOU"
15-02,ALEM AIN EL HAMMAM,15,,,36.56984,4.31448,exact,anem,anem,ALEM,1502,Rue COLONEL AMIROUCHE AIN EL HAMMAM,(026) 48 40 08,(026) 48 40 08,alem.ainelhammam@anem.dz,NAIT ABDESSELAM LYNDA,"ABI YOUCEF,AIN EL HAMMAM,AIT YAHIA,AKBIL,IFERHOUNEN,ILILTEN,IMSOUHAL"
15-03,ALEM AZAZGA,15,,,36.73347,4.37257,exact,anem,anem,ALEM,1503,Cité des 60 Logts EPLF Fontaine Romaine - Azazga,(026) 345 - 345,(026) 345 - 334,alem.azazga@anem.dz,MOUCHACHE SOFIANE,"AIT KHELILI,AZAZGA,BENI ZEKI,BOUZEGUENE,FREHA,IDJEUR,IFIGHA,ILOULA OUMALOU,MEKLA,SOUAMA,YAKOUREN,ZEKRI"
15-04,ALEM BOGHNI,15,,,36.54444,3.95325,exact,anem,anem,ALEM,1504,Cité des 18 logements  Boghni,026 23 17 11,026 23 17 11,alem.boghni@anem.dz,KHADIR SI ABDELMADJID,"AGOUNI GUEGHRANE,AIT BOUADDOU,ASSI YOUCEF,BOGHNI,BOUNOUH,MECHTRAS,OUADHIA,TIZI N'TLATA"
15-05,ALEM DRAA EL MIZAN,15,,,36.53364,3.83441,exact,anem,anem,ALEM,1505,Cité 30 Lgts LSP - Draa El Mizan,(026)133 - 209,(026) 133-209,alem.draaelmizane@anem.dz,TAS ABAS,"AIN ZAOUIA,AIT YAHIA MOUSSA,DRAA EL MIZAN,FRIKAT,MKIRA,TIZI GHENIF"
15-06,ALEM LARBAA NATH IRATEN,15,,,36.63918,4.20004,exact,anem,anem,ALEM,1506,RDC Centre culturel Mezzani Ahcène  L.N.Irathen,(026) 493 - 329,(026) 493 - 398,alem.larbaanathirathene@anem.dz,LOUNI Amar,"AIT AGGOUACHA,AIT OUMALOU,IRDJEN,LARBA NAIT IRATHEN,TIZI RACHED"
15-07,ALEM OUACIF,15,,,36.52575,4.20541,exact,anem,anem,ALEM,1507,Cité du marché ex Abattoir - Ouacifs,(026) 331 -952,(026) 331 -952,alem.ouacif@anem.dz,SI SEGHIR FARID,"AIT BOUMAHDI,AIT TOUDERT,BENI YENNI,IBOUDRAREN,OUACIF,YATAFEN"
