id,name,name_fr,name_ar,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,denomination
01-0029,Sahel alatik mosque in Akabli,Sahel alatik mosque in Akabli,,01,0112,Aoulef,26.705087,1.344627,exact,wikidata,wikidata,"{""wikidata"":""Q137846294""}",
01-0030,مسجد خالد بن الوليد النفيس,,مسجد خالد بن الوليد النفيس,01,0104,Reggane,26.749117,0.131232,exact,wikidata,wikidata,"{""wikidata"":""Q137846781""}",
01-0031,مسجد ابراهيم الخليل في أدرار,,مسجد ابراهيم الخليل في أدرار,01,0101,Adrar,27.871701,-0.29933,exact,wikidata,wikidata,"{""wikidata"":""Q137846843""}",
01-0032,Tatauan old mosque,Tatauan old mosque,,01,0105,In Zghmir,27.080379,-0.109333,exact,wikidata,wikidata,"{""wikidata"":""Q137846941""}",
01-0033,الإبتدائية الجديدة في إن زغمير,,الإبتدائية الجديدة في إن زغمير,01,0105,In Zghmir,27.043983,-0.089873,exact,wikidata,wikidata,"{""wikidata"":""Q137846942""}",
01-0034,مسجد الشيخ عبدالرحمن اعرود,,مسجد الشيخ عبدالرحمن اعرود,01,0105,In Zghmir,27.039245,-0.090593,exact,wikidata,wikidata,"{""wikidata"":""Q137846943""}",
01-0035,مسجد العلوشية في فنوغيل,,مسجد العلوشية في فنوغيل,01,0114,Tamantit,27.659919,-0.323842,exact,wikidata,wikidata,"{""wikidata"":""Q137846987""}",
01-0036,مسجد سيدنا سعد بن ابي وقاص رضي الله عنه,,مسجد سيدنا سعد بن ابي وقاص رضي الله عنه,01,0101,Adrar,27.849457,-0.299479,exact,wikidata,wikidata,"{""wikidata"":""Q137847092""}",
01-0037,اولاد بوحفص,,اولاد بوحفص,01,0101,Adrar,27.82003,-0.29514,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137847093"",""osm"":""way/1363063753""}",
01-0038,مسجد علي ابن ابي طالب كرم الله وجهه,,مسجد علي ابن ابي طالب كرم الله وجهه,01,0101,Adrar,27.849284,-0.343323,exact,wikidata,wikidata,"{""wikidata"":""Q137847094""}",
01-0039,Okba ibn nafia in Adrar,Okba ibn nafia in Adrar,أبو بكر الصديق,01,0101,Adrar,27.867441,-0.299369,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137847180"",""osm"":""way/432365297""}",
01-0040,Sheikh Omer bin Bouda Bandaraao mosque in Adrar,Sheikh Omer bin Bouda Bandaraao mosque in Adrar,,01,0122,Bouda,28.010807,-0.428918,exact,wikidata,wikidata,"{""wikidata"":""Q137847181""}",
01-0041,مسجد واينة في أدرار,,مسجد واينة في أدرار,01,0101,Adrar,27.895241,-0.362395,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137847182"",""osm"":""way/1363075139""}",
01-0042,مسجد عبد الله بن مسعود مدينة الشيخ محمد بلكبير في أدرار,,مسجد عبد الله بن مسعود مدينة الشيخ محمد بلكبير في أدرار,01,0101,Adrar,27.887106,-0.306269,exact,wikidata,wikidata,"{""wikidata"":""Q137847184""}",
01-0043,مسجد زاوية بلال في إن زغمير,,مسجد زاوية بلال في إن زغمير,01,0105,In Zghmir,27.073661,-0.11329,exact,wikidata,wikidata,"{""wikidata"":""Q137847289""}",
01-0044,مسجد حي قراوي في أدرار,Masdjid,مسجد حي قراوي في أدرار,01,0101,Adrar,27.885233,-0.297767,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137847353"",""osm"":""node/5033261223""}",
01-0045,مسجد سيدنا الحسن بن علي رضي الله عنهما قصر ادغا العتيق في أدرار,,مسجد سيدنا الحسن بن علي رضي الله عنهما قصر ادغا العتيق في أدرار,01,0101,Adrar,27.864894,-0.299473,exact,wikidata,wikidata,"{""wikidata"":""Q137847354""}",
01-0046,Mosquée Atique Ouled Ali in Adrar,Mosquée Atique Ouled Ali in Adrar,,01,0101,Adrar,27.863494,-0.284074,exact,wikidata,wikidata,"{""wikidata"":""Q137847355""}",
01-0047,مسجد ابي ذر الغفاري قرب منزل ابوانس في أدرار,Mosquée 400 logts,مسجد ابي ذر الغفاري قرب منزل ابوانس في أدرار,01,0101,Adrar,27.881865,-0.28789,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137847356"",""osm"":""way/432593199""}",
01-0048,المسجد العتيق بباحو في سالي,,المسجد العتيق بباحو في سالي,01,0118,Sali,26.86136,0.008245,exact,wikidata,wikidata,"{""wikidata"":""Q137847737""}",
01-0049,Maaz bin Jabal neighborhood orchards Tanorc mosque in Sali,Maaz bin Jabal neighborhood orchards Tanorc mosque in Sali,,01,0118,Sali,26.886131,-0.014931,exact,wikidata,wikidata,"{""wikidata"":""Q137847738""}",
01-0050,Mausolée Moulay Abdallah Reggani in Reggane,Mausolée Moulay Abdallah Reggani in Reggane,,01,0104,Reggane,26.687722,0.166495,exact,wikidata,wikidata,"{""wikidata"":""Q137847749""}",
01-0051,Prophet Ayoub Mosque in Reggane,Prophet Ayoub Mosque in Reggane,,01,0104,Reggane,26.722829,0.164189,exact,wikidata,wikidata,"{""wikidata"":""Q137847750""}",
01-0052,مسجد بوانجي في زاوية كنتة,,مسجد بوانجي في زاوية كنتة,01,0105,In Zghmir,27.119163,-0.130591,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137847780"",""osm"":""node/11076952431""}",
01-0053,مسجد الشيخ محمد بن عبدالكريم المغيلي التلمساني في زاوية كنتة,,مسجد الشيخ محمد بن عبدالكريم المغيلي التلمساني في زاوية كنتة,01,0105,In Zghmir,27.157888,-0.136556,exact,wikidata,wikidata,"{""wikidata"":""Q137847781""}",
01-0054,المسجد العتيق أولاد اونڨال في أدرار,,المسجد العتيق أولاد اونڨال في أدرار,01,0101,Adrar,27.866549,-0.292618,exact,wikidata,wikidata,"{""wikidata"":""Q137847787""}",
01-0055,Amanat Mosque in Aoulef,Amanat Mosque in Aoulef,مسجد عمنات,01,0112,Aoulef,26.970272,1.079262,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137849601"",""osm"":""way/296837432""}",sunni
01-0056,المسجد العتيق بقصر ادغا في أدرار,,المسجد العتيق بقصر ادغا في أدرار,01,0101,Adrar,27.86371,-0.299654,exact,wikidata,wikidata,"{""wikidata"":""Q137849606""}",
01-0057,مسجد ديار الصباح في أدرار,,مسجد ديار الصباح في أدرار,01,0101,Adrar,27.891373,-0.273583,exact,wikidata,wikidata,"{""wikidata"":""Q137849607""}",
01-0058,مسجد عبدالرحمن بن عوف في إن زغمير,Mosquée Abderrahmane Ibn Awf,مسجد عبدالرحمن بن عوف في إن زغمير,01,0105,In Zghmir,27.109793,-0.125441,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137849715"",""osm"":""node/10021999328""}",sunni
01-0059,مسجد ودغة العتيق في فنوغيل,,مسجد ودغة العتيق في فنوغيل,01,0114,Tamantit,27.654132,-0.312003,exact,wikidata,wikidata,"{""wikidata"":""Q137849788""}",
01-0060,مسجد أبو بكر الصديق الحراش زاوية كنتة في زاوية كنتة,,مسجد أبو بكر الصديق الحراش زاوية كنتة في زاوية كنتة,01,0111,Zaouiet Kounta,27.22323,-0.194189,exact,wikidata,wikidata,"{""wikidata"":""Q137850091""}",
01-0061,سيدي عبد الرحمان الكنتاوي ادمر في زاوية كنتة,,سيدي عبد الرحمان الكنتاوي ادمر في زاوية كنتة,01,0111,Zaouiet Kounta,27.190109,-0.168859,exact,wikidata,wikidata,"{""wikidata"":""Q137850092""}",
01-0062,المسجد الكبير بربع في أدرار,Mosquée Moulay El Mahdi,المسجد الكبير بربع في أدرار,01,0101,Adrar,27.872121,-0.319078,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137850097"",""osm"":""way/314766078""}",
01-0063,مسجد التقوى في أدرار,,مسجد التقوى في أدرار,01,0101,Adrar,27.876448,-0.266718,exact,wikidata,wikidata,"{""wikidata"":""Q137850119""}",
01-0064,مسجد سيدي عبدالرحمان بن محمد في أدرار,,مسجد سيدي عبدالرحمان بن محمد في أدرار,01,0101,Adrar,27.869563,-0.302307,exact,wikidata,wikidata,"{""wikidata"":""Q137850122""}",
01-0065,مسجدعدل في أدرار,,مسجدعدل في أدرار,01,0101,Adrar,27.896581,-0.2701,exact,wikidata,wikidata,"{""wikidata"":""Q137850124""}",
01-0066,Mosquée Ouled Ahmed in Adrar,Mosquée Ouled Ahmed in Adrar,,01,0101,Adrar,27.85313,-0.283293,exact,wikidata,wikidata,"{""wikidata"":""Q137850125""}",
01-0067,مسجد اولاد مولاي عمار في فنوغيل,,مسجد اولاد مولاي عمار في فنوغيل,01,0114,Tamantit,27.620983,-0.310546,exact,wikidata,wikidata,"{""wikidata"":""Q137850393""}",
01-0068,مسجد سيدي الحاج امحمد بن عيسى بنهمي في فنوغيل,,مسجد سيدي الحاج امحمد بن عيسى بنهمي في فنوغيل,01,0114,Tamantit,27.653183,-0.304454,exact,wikidata,wikidata,"{""wikidata"":""Q137850394""}",
01-0069,المسجد العتيق ب بنهمي في فنوغيل,,المسجد العتيق ب بنهمي في فنوغيل,01,0114,Tamantit,27.65126,-0.305785,exact,wikidata,wikidata,"{""wikidata"":""Q137850395""}",
01-0070,مسجد سيدي العابد في المسيلة,Mosquée Sidi Elaâbed,مسجد سيدي العابد في المسيلة,01,0112,Aoulef,26.964432,1.084287,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137850480"",""osm"":""way/297790989""}",sunni
01-0071,مسجد السلام بزاوية لحشف في سالي,,مسجد السلام بزاوية لحشف في سالي,01,0118,Sali,26.847587,0.011207,exact,wikidata,wikidata,"{""wikidata"":""Q137850574""}",
01-0072,Abu Bakr Siddiq Mosque Tanorc in Sali,Abu Bakr Siddiq Mosque Tanorc in Sali,,01,0118,Sali,26.88667,-0.01435,exact,wikidata,wikidata,"{""wikidata"":""Q137850575""}",
01-0073,مسجد الإمام مالك تيلولين في الرمشي,,مسجد الإمام مالك تيلولين في الرمشي,01,0105,In Zghmir,27.036659,-0.086646,exact,wikidata,wikidata,"{""wikidata"":""Q137850609""}",
01-0074,مسجد الشيخ سيدي أحمد ديدي تمنطيط 27/0,,مسجد الشيخ سيدي أحمد ديدي تمنطيط 27/0,01,0114,Tamantit,27.763073,-0.256817,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137850660"",""osm"":""node/11093328732""}",
01-0075,مسجد الامير عبد القادر في أولف,Mosquée Emir Abdelkader,مسجد الامير عبد القادر في أولف,01,0112,Aoulef,26.970898,1.084177,approximate,osm_relation,wikidata+osm,"{""wikidata"":""Q137850694"",""osm"":""relation/6430995""}",sunni
01-0076,بويحيا السفلى في أدرار,,بويحيا السفلى في أدرار,01,0101,Adrar,27.971634,-0.186964,exact,wikidata,wikidata,"{""wikidata"":""Q137850707""}",
01-0077,مسجد ابو ايوب الانصاري في أدرار,Mosquée du 20 Aout,مسجد ابو ايوب الانصاري في أدرار,01,0101,Adrar,27.877809,-0.277328,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137850708"",""osm"":""way/432738760""}",
01-0078,المسجد العتيق باولاداوشن في أدرار,,المسجد العتيق باولاداوشن في أدرار,01,0101,Adrar,27.863175,-0.28871,exact,wikidata,wikidata,"{""wikidata"":""Q137850709""}",
01-0079,Imam Malik bin Anas mosque in Akabli,Imam Malik bin Anas mosque in Akabli,,01,0112,Aoulef,26.706988,1.345128,exact,wikidata,wikidata,"{""wikidata"":""Q137850725""}",
01-0080,مسجد الشيخ سيدى امحمد بن عمر زاوية الشيخ في بودة,,مسجد الشيخ سيدى امحمد بن عمر زاوية الشيخ في بودة,01,0122,Bouda,28.004016,-0.42514,exact,wikidata,wikidata,"{""wikidata"":""Q137850814""}",
01-0081,المسجد العتيق سيد الحاج بن بوزيان في إن زغمير,,المسجد العتيق سيد الحاج بن بوزيان في إن زغمير,01,0105,In Zghmir,27.04458,-0.094443,exact,wikidata,wikidata,"{""wikidata"":""Q137850838""}",
01-0082,مسجد القصبة في إن زغمير,,مسجد القصبة في إن زغمير,01,0105,In Zghmir,27.096456,-0.118623,exact,wikidata,wikidata,"{""wikidata"":""Q137850840""}",
01-0083,Mosquée alaatik baamour in Fenoughil,Mosquée alaatik baamour in Fenoughil,,01,0114,Tamantit,27.4965,-0.284211,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137850947"",""osm"":""way/356073118""}",
01-0084,Mosque Maharzh in Sali,Mosque Maharzh in Sali,,01,0118,Sali,26.971508,-0.036168,exact,wikidata,wikidata,"{""wikidata"":""Q137851154""}",
01-0085,"La grande mosquée, Sheikh al -osmouni Boufadi 27/0","La grande mosquée, Sheikh al -osmouni Boufadi 27/0",,01,0114,Tamantit,27.717416,-0.271699,exact,wikidata,wikidata,"{""wikidata"":""Q137851340""}",
01-0086,مسجد عمر بن الخطاب 27/0,Masdjid,مسجد عمر بن الخطاب 27/0,01,0114,Tamantit,27.766527,-0.269289,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137851341"",""osm"":""node/6082849986""}",
01-0087,مسجد الخير بتاخفيفت في زاوية كنتة,,مسجد الخير بتاخفيفت في زاوية كنتة,01,0111,Zaouiet Kounta,27.208003,-0.17117,exact,wikidata,wikidata,"{""wikidata"":""Q137851421""}",
01-0088,مسجد في أدرار,,مسجد في أدرار,01,0101,Adrar,27.874242,-0.301884,exact,wikidata,wikidata,"{""wikidata"":""Q137851464""}",
01-0089,مسجد الشيخ سيدي الحاج عبد الكريم مخلوفي في أدرار,,مسجد الشيخ سيدي الحاج عبد الكريم مخلوفي في أدرار,01,0101,Adrar,27.89179,-0.300845,exact,wikidata,wikidata,"{""wikidata"":""Q137851465""}",
01-0090,المسجد الكبير حي دحماني حمادي تليلان ، في أدرار,,المسجد الكبير حي دحماني حمادي تليلان ، في أدرار,01,0101,Adrar,27.895431,-0.278182,exact,wikidata,wikidata,"{""wikidata"":""Q137851467""}",
01-0091,Amir abdelkader mosque in Adrar,Amir abdelkader mosque in Adrar,,01,0101,Adrar,27.869954,-0.29158,exact,wikidata,wikidata,"{""wikidata"":""Q137851468""}",
01-0092,Ancienne Mosquée Benitamer in Adrar,Ancienne Mosquée Benitamer in Adrar,,01,0101,Adrar,27.829829,-0.270843,exact,wikidata,wikidata,"{""wikidata"":""Q137851469""}",
01-0093,مسجد سيدنا أبو بكر الصديق رضي الله عنه في أدرار,,مسجد سيدنا أبو بكر الصديق رضي الله عنه في أدرار,01,0101,Adrar,27.869879,-0.296949,exact,wikidata,wikidata,"{""wikidata"":""Q137851470""}",
01-0094,مسجد برشيد في فنوغيل,,مسجد برشيد في فنوغيل,01,0114,Tamantit,27.623338,-0.307931,exact,wikidata,wikidata,"{""wikidata"":""Q137851768""}",
01-0095,Mosquée Taridal 27/0,Mosquée Taridal 27/0,,01,0101,Adrar,27.846627,-0.289482,exact,wikidata,wikidata,"{""wikidata"":""Q137852024""}",
01-0096,Mosquée Ouled Brahim 27/0,Mosquée Ouled Brahim 27/0,,01,0101,Adrar,27.843722,-0.290519,exact,wikidata,wikidata,"{""wikidata"":""Q137852025""}",
01-0097,مسجد مولاي عمر البريشي في سالي,,مسجد مولاي عمر البريشي في سالي,01,0118,Sali,26.869663,0.002941,exact,wikidata,wikidata,"{""wikidata"":""Q137852051""}",
01-0098,مسجد البلدية في سالي,,مسجد البلدية في سالي,01,0118,Sali,26.961483,-0.02865,exact,wikidata,wikidata,"{""wikidata"":""Q137852052""}",
01-0099,Mosque Sealed Nectar in Reggane,Mosque Sealed Nectar in Reggane,,01,0104,Reggane,26.71243,0.119742,exact,wikidata,wikidata,"{""wikidata"":""Q137852090""}",
01-0100,Mosquée Zaouia in Reggane,Mosquée Zaouia in Reggane,,01,0104,Reggane,26.707556,0.119779,exact,wikidata,wikidata,"{""wikidata"":""Q137852091""}",
01-0101,مسجد عائشة ام المؤمنين 27/0,,مسجد عائشة ام المؤمنين 27/0,01,0114,Tamantit,27.756169,-0.267806,exact,wikidata,wikidata,"{""wikidata"":""Q137852172""}",
01-0102,مسجد النور 27/0,,مسجد النور 27/0,01,0114,Tamantit,27.758635,-0.258477,exact,wikidata,wikidata,"{""wikidata"":""Q137852173""}",
01-0103,مسجد تايلوت 27/0,,مسجد تايلوت 27/0,01,0114,Tamantit,27.764827,-0.259043,exact,wikidata,wikidata,"{""wikidata"":""Q137852174""}",
01-0104,مسجد أولاد علي بن موسى 27/0,,مسجد أولاد علي بن موسى 27/0,01,0114,Tamantit,27.765312,-0.262346,exact,wikidata,wikidata,"{""wikidata"":""Q137852176""}",
01-0105,مسجد الامام مالك بن انس اظوى في زاوية كنتة,,مسجد الامام مالك بن انس اظوى في زاوية كنتة,01,0105,In Zghmir,27.128662,-0.129956,exact,wikidata,wikidata,"{""wikidata"":""Q137852224""}",
01-0106,مسجد عبد الله بن مسعود أولف تقراف في أولف,,مسجد عبد الله بن مسعود أولف تقراف في أولف,01,0112,Aoulef,26.98367,1.076806,exact,wikidata,wikidata,"{""wikidata"":""Q137852242""}",
01-0107,Mosquée eldjilali in Adrar,Mosquée eldjilali in Adrar,مسجد سيدي عبد القادر الجيلاني,01,0101,Adrar,27.874338,-0.288924,approximate,osm_relation,wikidata+osm,"{""wikidata"":""Q137852261"",""osm"":""relation/6449017""}",
01-0108,مدرسة الفرقان الداخلية للشيخ الحاج سالم بن ابراهيم لتدريس القرآن والعلوم الشرعية في أدرار,,مدرسة الفرقان الداخلية للشيخ الحاج سالم بن ابراهيم لتدريس القرآن والعلوم الشرعية في أدرار,01,0101,Adrar,27.878991,-0.290123,exact,wikidata,wikidata,"{""wikidata"":""Q137852262""}",
01-0109,مسجد السلام في بودة,,مسجد السلام في بودة,01,0122,Bouda,28.032995,-0.463644,exact,wikidata,wikidata,"{""wikidata"":""Q137852615""}",
01-0110,مسجد مولاي علي الشريف بتيلولين الشرفاء في إن زغمير,,مسجد مولاي علي الشريف بتيلولين الشرفاء في إن زغمير,01,0105,In Zghmir,27.046364,-0.092482,exact,wikidata,wikidata,"{""wikidata"":""Q137852651""}",
01-0111,Mosquée sidi Youssef in Fenoughil,Mosquée sidi Youssef in Fenoughil,,01,0114,Tamantit,27.603091,-0.302759,exact,wikidata,wikidata,"{""wikidata"":""Q137852746""}",
01-0112,مسجد تسفاوت في فنوغيل,,مسجد تسفاوت في فنوغيل,01,0114,Tamantit,27.696207,-0.355655,exact,wikidata,wikidata,"{""wikidata"":""Q137852747""}",
01-0113,مسجد القصبة الجديدة في سالي,,مسجد القصبة الجديدة في سالي,01,0118,Sali,26.862265,0.007029,exact,wikidata,wikidata,"{""wikidata"":""Q137853050""}",
01-0114,"Mosquée Abdallah Ibn Massoud au palais El-Mestour, Sali. in Sali","Mosquée Abdallah Ibn Massoud au palais El-Mestour, Sali. in Sali",,01,0118,Sali,26.853386,0.006132,exact,wikidata,wikidata,"{""wikidata"":""Q137853051""}",
01-0115,مسجد الشيخ مولاي عبدالله الرقاني في رقان,,مسجد الشيخ مولاي عبدالله الرقاني في رقان,01,0104,Reggane,26.68749,0.167275,exact,wikidata,wikidata,"{""wikidata"":""Q137853104""}",
01-0116,Abdullah Ibn Masood Mosque in Reggane,Abdullah Ibn Masood Mosque in Reggane,,01,0104,Reggane,26.780738,0.094398,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137853105"",""osm"":""way/283264581""}",
01-0117,المسجد العتيق بقصر غرميانو 27/0,,المسجد العتيق بقصر غرميانو 27/0,01,0111,Zaouiet Kounta,27.382773,-0.180699,exact,wikidata,wikidata,"{""wikidata"":""Q137853226""}",
01-0118,Mosquée Al-Fath 27/0,Mosquée Al-Fath 27/0,,01,0114,Tamantit,27.765756,-0.262145,exact,wikidata,wikidata,"{""wikidata"":""Q137853227""}",
01-0119,مسجد أبي بكر الصديق تازولت القصبة في زاوية كنتة,,مسجد أبي بكر الصديق تازولت القصبة في زاوية كنتة,01,0111,Zaouiet Kounta,27.179346,-0.151296,exact,osm_node,wikidata+osm,"{""wikidata"":""Q137853279"",""osm"":""node/11077488602""}",
01-0120,المسجد العتيق الكبير ببوعلي في زاوية كنتة,,المسجد العتيق الكبير ببوعلي في زاوية كنتة,01,0105,In Zghmir,27.155737,-0.138015,exact,wikidata,wikidata,"{""wikidata"":""Q137853280""}",
01-0121,المسجد العتيق في تيارت,,المسجد العتيق في تيارت,01,0105,In Zghmir,27.085701,-0.116085,exact,wikidata,wikidata,"{""wikidata"":""Q137853288""}",
01-0122,مسجد ابي ذر الغفاري في أولف,Mosquée Jdid,مسجد ابي ذر الغفاري في أولف,01,0112,Aoulef,26.976245,1.076938,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137853296"",""osm"":""way/298218527""}",
01-0123,Reed Bilal Mosque in Aoulef,Reed Bilal Mosque in Aoulef,مسجد بلال بن رباح,01,0112,Aoulef,26.967297,1.07773,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137853297"",""osm"":""way/296775653""}",sunni
01-0124,zaouiat cheikh mouhamed belkbir in Adrar,zaouiat cheikh mouhamed belkbir in Adrar,مسجد سيدي الشيخ محمد بلكبير,01,0101,Adrar,27.871781,-0.293127,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137853319"",""osm"":""way/435036484""}",
01-0125,مسجد معاذ بن جبل في أدرار,Mosquée Mouâad Ibn Djabel,مسجد معاذ بن جبل في أدرار,01,0101,Adrar,27.874721,-0.287127,approximate,osm_way,wikidata+osm,"{""wikidata"":""Q137853320"",""osm"":""way/432707685""}",sunni
