name,name_fr,name_ar,layer,lat,lng,wilaya_code,wilaya_name_fr,wilaya_name_ar,nid_fr,nid_ar,has_virtual_tour,source
Fort des Supplicés (Fort El Moâdhabine),Fort des Supplicés (Fort El Moâdhabine),حصن المعذبين,protected-cultural-property,36.901793,7.755404,23,Annaba,عنابة,,252,false,patrimoineculturelalgerien.org
Mosquée Es Saffah,Mosquée Es Saffah,مسجد الصفاح,protected-cultural-property,33.804784,2.881817,03,Laghouat,الأغواط,,253,false,patrimoineculturelalgerien.org
Mosquée Abou Marouane Echérif,Mosquée Abou Marouane Echérif,مسجد أبو مروان الشريف,protected-cultural-property,36.898679,7.76411,23,Annaba,عنابة,,254,false,patrimoineculturelalgerien.org
Mosquée Et Taouti,Mosquée Et Taouti,مسجد التاوتي,protected-cultural-property,33.805496,2.879343,03,Laghouat,الأغواط,,255,false,patrimoineculturelalgerien.org
Vieille ville (Bône),Vieille ville (Bône),"المدينة القديمة ""بونة""",protected-cultural-property,36.899541,7.762828,23,Annaba,عنابة,,256,false,patrimoineculturelalgerien.org
Mosquée Ech Chadhilia,Mosquée Ech Chadhilia,مسجد الشاذلية,protected-cultural-property,33.80646,2.884176,03,Laghouat,الأغواط,,257,false,patrimoineculturelalgerien.org
Mosquée Sidi Abdelkader,Mosquée Sidi Abdelkader,مسجد سيدي عبد القادر,protected-cultural-property,33.807223,2.883948,03,Laghouat,الأغواط,,258,false,patrimoineculturelalgerien.org
Mosquée El Khalifa,Mosquée El Khalifa,مسجد الخليفة,protected-cultural-property,33.806675,2.883531,03,Laghouat,الأغواط,,259,false,patrimoineculturelalgerien.org
Demeure du saint Sidi El Hadj Aïssa,Demeure du saint Sidi El Hadj Aïssa,دار الولي الصالح سيدي الحاج عيسى,protected-cultural-property,33.807646,2.883413,03,Laghouat,الأغواط,,260,false,patrimoineculturelalgerien.org
Dar Bouamer,Dar Bouamer,دار بوعامر,protected-cultural-property,33.804736,2.880221,03,Laghouat,الأغواط,,261,false,patrimoineculturelalgerien.org
Musée Public National de Tébessa,Musée Public National de Tébessa,المتحف العمومي الوطني تبسة,museum,35.420901,8.116796,12,Tébessa,تبسة,262,263,false,patrimoineculturelalgerien.org
Ksar d'El Assafia,Ksar d'El Assafia,قصر العسافية,protected-cultural-property,33.824996,2.991532,03,Laghouat,الأغواط,,264,false,patrimoineculturelalgerien.org
Théâtre Régional de Constantine,Théâtre Régional de Constantine,مسرح قسنطينة الجهوي محمد الطاهر الفرقاني,theatre,36.365428,6.610487,25,Constantine,قسنطينة,43,265,false,patrimoineculturelalgerien.org
Ancien bordj de Sidi Makhlouf,Ancien bordj de Sidi Makhlouf,البرج القديم بسيدي مخلوف,protected-cultural-property,34.129266,3.020563,03,Laghouat,الأغواط,,266,false,patrimoineculturelalgerien.org
Station de Kaâlan,Station de Kaâlan,محطة كعلان,protected-cultural-property,34.199236,3.057526,03,Laghouat,الأغواط,,267,false,patrimoineculturelalgerien.org
Ksar de Tadjrouna,Ksar de Tadjrouna,قصر تاجرونة,protected-cultural-property,33.501751,2.104216,03,Laghouat,الأغواط,,269,false,patrimoineculturelalgerien.org
Théâtre régional d'Oum El Bouaghi,Théâtre régional d'Oum El Bouaghi,المسرح الجهوي أم البواقـي,theatre,35.796348,7.390996,04,Oum El Bouaghi,أم البواقي,,270,false,patrimoineculturelalgerien.org
Cité islamique de Tihmamine,Cité islamique de Tihmamine,مدينة اسلامية تيحمامين,protected-cultural-property,35.933778,4.663917,34,Bordj Bou Arreridj,برج بوعريريج,,273,false,patrimoineculturelalgerien.org
Khirbet Zembia,Khirbet Zembia,خربة زمبيا,protected-cultural-property,35.986056,4.881833,34,Bordj Bou Arreridj,برج بوعريريج,,274,false,patrimoineculturelalgerien.org
Bordj El Mokrani,Bordj El Mokrani,برج المقراني,protected-cultural-property,36.072549,4.761553,34,Bordj Bou Arreridj,برج بوعريريج,,275,false,patrimoineculturelalgerien.org
Palais Aziza,Palais Aziza,قصر عزيزة,protected-cultural-property,36.540239,2.829378,09,Blida,البليدة,,277,false,patrimoineculturelalgerien.org
Bibliothèque publique de lecture d'Aïn Defla,Bibliothèque publique de lecture d'Aïn Defla,المكتبة العمومية للمطالعة عين الدفلى,library,36.261496,1.95752,44,Aïn Defla,عين الدفلى,,278,false,patrimoineculturelalgerien.org
Mausolée du saint Sidi Ahmed El Kébir,Mausolée du saint Sidi Ahmed El Kébir,ضريح الولي الصالح سيدي أحمد الكبير,protected-cultural-property,36.459774,2.849169,09,Blida,البليدة,,279,false,patrimoineculturelalgerien.org
Mausolée du saint Sidi Yaâkoub Echérif,Mausolée du saint Sidi Yaâkoub Echérif,ضريح الولي الصالح سيدي يعقوب الشريف,protected-cultural-property,36.469149,2.821178,09,Blida,البليدة,,280,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Beradaï Ahmed – Tamanrasset,Bibliothèque principale de lecture publique Beradaï Ahmed – Tamanrasset,المكتبة الرئيسية للمطالعة العمومية برادعي احمد تامنغست,library,22.791308,5.525744,11,Tamanrasset,تمنراست,,281,false,patrimoineculturelalgerien.org
Mosquée hanéfite turque,Mosquée hanéfite turque,المسجد الحنفي التركي,protected-cultural-property,36.471093,2.829209,09,Blida,البليدة,,282,false,patrimoineculturelalgerien.org
Mosquée Ben Saâdoun Ben Baba Ali,Mosquée Ben Saâdoun Ben Baba Ali,مسجد بن سعدون بن بابا علي,protected-cultural-property,36.47166,2.828832,09,Blida,البليدة,,283,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Ouanzar Abdelkrim,Bibliothèque principale de lecture publique Ouanzar Abdelkrim,المكتبة الرئيسية للمطالعة العمومية وانزار عبد الكريم,library,34.836756,0.147872,20,Saïda,سعيدة,,285,false,patrimoineculturelalgerien.org
El Hadjra El Maktouba (pierre gravée) – commune de Tiout,El Hadjra El Maktouba (pierre gravée) – commune de Tiout,الحجرة المكتوبة بلدية تيوت,protected-cultural-property,32.78019,-0.41064,45,Naâma,النعامة,,287,false,patrimoineculturelalgerien.org
Théâtre régional de Laghouat,Théâtre régional de Laghouat,المسرح الجهوي الأغواط,theatre,33.805733,2.860203,03,Laghouat,الأغواط,,288,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique – commune d'El Reggassa,Bibliothèque de lecture publique – commune d'El Reggassa,مكتبة المطالعة بلدية الرقاصة,library,34.017083,0.927904,32,El Bayadh,البيض,,289,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique de Bougtoub,Bibliothèque de lecture publique de Bougtoub,مكتبة المطالعة بوقطب,library,34.044092,0.089507,32,El Bayadh,البيض,,290,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique Malek Bennabi – commune de Sidi Boubekeur,Bibliothèque de lecture publique Malek Bennabi – commune de Sidi Boubekeur,مكتبة المطالعة العمومية مالك بن نبي لبلدية سيدي بوبكر,library,35.027964,0.058807,20,Saïda,سعيدة,,291,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique de Brézina,Bibliothèque de lecture publique de Brézina,مكتبة المطالعة بريزينة,library,33.101985,1.268961,32,El Bayadh,البيض,,292,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique Dr Ahmed Aroua,Bibliothèque de lecture publique Dr Ahmed Aroua,مكتبة المطالعة العمومية د.أحمد عروة,library,35.119845,-0.149415,20,Saïda,سعيدة,,293,false,patrimoineculturelalgerien.org
Bibliothèque martyr Saoudi Djeloul,Bibliothèque martyr Saoudi Djeloul,مكتبة الشهيد سعودي جلول,library,36.065876,3.333123,26,Médéa,المدية,,294,false,patrimoineculturelalgerien.org
Les Grues (Lagharaniq) – commune de Tiout 1,Les Grues (Lagharaniq) – commune de Tiout 1,لغرانيق بلدية تيوت1,protected-cultural-property,32.77126,-0.35735,45,Naâma,النعامة,,298,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Hadj Ben Amer,Bibliothèque principale de lecture publique Hadj Ben Amer,المكتبة الرئيسية للمطالعة العموممية الرق الحاج بن عامر,library,33.670388,1.025464,32,El Bayadh,البيض,,300,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique Abou El Kacem Saâdallah,Bibliothèque de lecture publique Abou El Kacem Saâdallah,مكتبة المطالعة العمومية أبو القاسم سعد الله,library,34.920304,-0.211388,20,Saïda,سعيدة,,301,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Moulay Belhamissi,Bibliothèque principale de lecture publique Moulay Belhamissi,المكتبة الرئيسية للمطالعة العمومية مولاي بلحميسي,library,35.927505,0.0792,27,Mostaganem,مستغانم,,303,false,patrimoineculturelalgerien.org
Bibliothèque Moudjahid El Arbi Mohamed – commune de Djouab,Bibliothèque Moudjahid El Arbi Mohamed – commune de Djouab,مكتبة المجاهد العربي محمد ببلدية جواب,library,36.139461,3.424249,26,Médéa,المدية,,304,false,patrimoineculturelalgerien.org
Bibliothèque martyr Brahimi Mohamed – commune de Djouab,Bibliothèque martyr Brahimi Mohamed – commune de Djouab,مكتبة الشهيد ابراهيمي محمد ببلدية جواب,library,36.137452,3.433355,26,Médéa,المدية,,307,false,patrimoineculturelalgerien.org
Bibliothèque de lecture publique Malek Haddad,Bibliothèque de lecture publique Malek Haddad,مكتبة المطالعة العمومية مالك حداد,library,34.893774,-0.078502,20,Saïda,سعيدة,,308,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Cheikh El Bachir El Ibrahimi,Bibliothèque principale de lecture publique Cheikh El Bachir El Ibrahimi,"المكتبة الرئيسية للمطالعة العمومية ""الشيخ البشيرالإبراهيمي""",library,33.79678,2.852791,03,Laghouat,الأغواط,,310,false,patrimoineculturelalgerien.org
Bibliothèque communale de Ksar El Boukhari,Bibliothèque communale de Ksar El Boukhari,مكتبة بلدية قصر البخاري,library,35.87592,2.747389,26,Médéa,المدية,,311,false,patrimoineculturelalgerien.org
Bibliothèque de Bellil,Bibliothèque de Bellil,مكتبة بليل,library,33.266758,3.200949,03,Laghouat,الأغواط,,313,false,patrimoineculturelalgerien.org
Bibliothèque Moudjahid Loucif Ammar – El Mfatha,Bibliothèque Moudjahid Loucif Ammar – El Mfatha,مكتبة المجاهد لوصيف عمار المفاتحة,library,35.884068,2.935359,26,Médéa,المدية,,314,false,patrimoineculturelalgerien.org
Musée Abbane Ramdane,Musée Abbane Ramdane,متحف عبان رمضان,museum,36.641613,4.174233,15,Tizi Ouzou,تيزي وزو,206,317,true,patrimoineculturelalgerien.org
Bibliothèque urbaine Artiste Mohamed Seghir,Bibliothèque urbaine Artiste Mohamed Seghir,"المكتبة الحضرية ""الفنان محمد الصغير""",library,33.794209,2.880549,03,Laghouat,الأغواط,,318,false,patrimoineculturelalgerien.org
Bibliothèque Cheikh El Bachir El Ibrahimi – commune de Saneg,Bibliothèque Cheikh El Bachir El Ibrahimi – commune de Saneg,مكتبة الشيخ البشير الابراهيمي ببلدية سانق,library,35.84788,2.889219,26,Médéa,المدية,,319,false,patrimoineculturelalgerien.org
Zaouia Tidjania,Zaouia Tidjania,مكتبة عين ماضي ”العلامة الشيخ دهسي أحمد لعناية“,library,33.795698,2.304893,03,Laghouat,الأغواط,52,320,false,patrimoineculturelalgerien.org
Station de Lemhaïsrat – Aïn Sefra,Station de Lemhaïsrat – Aïn Sefra,محطة لمحيصرات عين الصفراء,protected-cultural-property,32.771947,-0.525801,45,Naâma,النعامة,,321,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Saâd Dahlab,Bibliothèque principale de lecture publique Saâd Dahlab,المكتبة الرئيسية للمطالعة العمومية  سعد دحلب,library,35.357241,1.325522,14,Tiaret,تيارت,,322,false,patrimoineculturelalgerien.org
Bibliothèque principale de lecture publique Moudjahid Khemaïs Bekta,Bibliothèque principale de lecture publique Moudjahid Khemaïs Bekta,المكتبة الرئيسية للمطالعة العمومية المجاهد خمايس بكتة,library,26.5169,8.479701,33,Illizi,إليزي,,323,false,patrimoineculturelalgerien.org
Bibliothèque martyr Haouassine Kaci – commune de Chahbounia,Bibliothèque martyr Haouassine Kaci – commune de Chahbounia,مكتبة الشهيد حواسين قاسي بلدية الشهبونية,library,35.54267,2.60533,26,Médéa,المدية,,324,false,patrimoineculturelalgerien.org
Bibliothèque d'El Ghicha – Moudjahid feu Nahi Cheikh,Bibliothèque d'El Ghicha – Moudjahid feu Nahi Cheikh,مكتبة الغيشة ”المجاهد المرحوم ناهي الشيخ“,library,33.932211,2.142199,03,Laghouat,الأغواط,,325,false,patrimoineculturelalgerien.org
Le palais d'El-Agha,Le palais d'El-Agha,قصر الآغا - فرجيوة,protected-cultural-property,36.406825,5.943828,43,Mila,ميلة,1427,326,false,patrimoineculturelalgerien.org
Bibliothèque principale de la lecture publique martyr Maamri Ali Ben Said Souk Ahras,Bibliothèque principale de la lecture publique martyr Maamri Ali Ben Said Souk Ahras,المكتبة الرئيسية للمطالعة العمومية معمري علي بن سعيد سوق أهراس,library,36.282354,7.935515,41,Souk Ahras,سوق أهراس,1353,327,false,patrimoineculturelalgerien.org
Bibliothèque Moudjahid Hamidi Mohamed – commune de Boughezoul,Bibliothèque Moudjahid Hamidi Mohamed – commune de Boughezoul,مكتبة المجاهد حميدي محمد ببلدية بوغزول,library,35.703481,2.857018,26,Médéa,المدية,,328,false,patrimoineculturelalgerien.org
Bibliothèque communale n°2 – El Bouaïch,Bibliothèque communale n°2 – El Bouaïch,المكتبة البلدية 02 البواعيش,library,35.553257,2.358615,26,Médéa,المدية,,330,false,patrimoineculturelalgerien.org
Santa Cruz,Santa Cruz,حصن سانتاكروز,protected-cultural-property,35.709501,-0.664473,31,Oran,وهران,107,332,false,patrimoineculturelalgerien.org
Bibliothèque rurale martyr Saïdi Kaddour,Bibliothèque rurale martyr Saïdi Kaddour,"المكتبة الريفية ""الشهيد سعيدي قدور""",library,33.906355,1.786558,03,Laghouat,الأغواط,,335,false,patrimoineculturelalgerien.org
Bibliothèque communale d'Aziz,Bibliothèque communale d'Aziz,مكتبة بلدية عزيز,library,35.826497,2.456258,26,Médéa,المدية,,336,false,patrimoineculturelalgerien.org
Bibliothèque martyr Tafift Ahmed Derrag,Bibliothèque martyr Tafift Ahmed Derrag,مكتبة الشهيد تافيفت احمد دراق,library,35.862107,2.3617,26,Médéa,المدية,,337,false,patrimoineculturelalgerien.org
Bibliothèque communale d'Oum El Djelil,Bibliothèque communale d'Oum El Djelil,مكتبة بلدية أم الجليل,library,35.830911,2.621139,26,Médéa,المدية,,339,false,patrimoineculturelalgerien.org
Ksar antique de Tiout,Ksar antique de Tiout,قصر تيوت العتيق,protected-cultural-property,32.750296,-0.427866,45,Naâma,النعامة,,341,false,patrimoineculturelalgerien.org
La fontaine romaine Ain el-Bled,La fontaine romaine Ain el-Bled,"العين الرومانية ""عين البلد""",protected-cultural-property,36.451928,6.274097,43,Mila,ميلة,1411,342,false,patrimoineculturelalgerien.org
Musée Public National de la Calligraphie Islamique,Musée Public National de la Calligraphie Islamique,المتحف العمومي الوطني للخط الإسلامي لمدينة تلمسان,museum,34.882921,-1.311297,13,Tlemcen,تلمسان,199,343,false,patrimoineculturelalgerien.org
Bibliothèque du poète Moufdi Zakaria – commune d'Aïn Boucif,Bibliothèque du poète Moufdi Zakaria – commune d'Aïn Boucif,مكتبة الشاعر مفدي زكريا  بلدية عين بوسيف,library,35.891107,3.139023,26,Médéa,المدية,,344,false,patrimoineculturelalgerien.org
Casbah antique de Dellys,Casbah antique de Dellys,قصبة دلس العتيقة,protected-cultural-property,36.913216,3.902011,35,Boumerdès,بومرداس,,345,false,patrimoineculturelalgerien.org
Bibliothèque martyr Mellah Lakhdar – commune d'El Ouinet,Bibliothèque martyr Mellah Lakhdar – commune d'El Ouinet,مكتبة الشهيد ملاح لخضر بلدية العوينات,library,35.89348,3.034761,26,Médéa,المدية,,346,false,patrimoineculturelalgerien.org
Bibliothèque Moudjahid Chrifi Mohamed – commune d'El Kaf Lakhdar,Bibliothèque Moudjahid Chrifi Mohamed – commune d'El Kaf Lakhdar,مكتبة المجاهد شريفي محمد بلدية الكاف لخضر,library,35.929504,3.29127,26,Médéa,المدية,,347,false,patrimoineculturelalgerien.org
Site archéologique d'El-Baala,Site archéologique d'El-Baala,الموقع الأثري لمشتة البعالة,protected-cultural-property,36.2977,6.224736,43,Mila,ميلة,1433,348,false,patrimoineculturelalgerien.org
Bibliothèque martyr El Aïd Bouabboub – commune de Chéniguel,Bibliothèque martyr El Aïd Bouabboub – commune de Chéniguel,مكتبة الشهيد  العيد بوعبعوب بلدية الشنيقل,library,35.921005,3.564298,26,Médéa,المدية,,350,false,patrimoineculturelalgerien.org
Bibliothèque martyr Abdi Mahmoud – commune de Draâ Essemar,Bibliothèque martyr Abdi Mahmoud – commune de Draâ Essemar,مكتبة الشهيد عبدي محمود بلدية ذراع السمار,library,36.275029,2.71645,26,Médéa,المدية,,351,false,patrimoineculturelalgerien.org
Musée public national des Arts et Traditions populaires de Médéa,Musée public national des Arts et Traditions populaires de Médéa,المتحف الوطني العمومي للفنون والتقاليد والشعبية بالمدية,museum,36.261554,2.751416,26,Médéa,المدية,,353,false,patrimoineculturelalgerien.org
Ksar d'Arbaouat,Ksar d'Arbaouat,قصر اربوات,protected-cultural-property,33.089579,0.580182,32,El Bayadh,البيض,,354,false,patrimoineculturelalgerien.org
Bibliothèque martyr Cherit Mohamed,Bibliothèque martyr Cherit Mohamed,"مكتبة ""الشهيد شريط محمد""",library,34.116897,2.107789,03,Laghouat,الأغواط,,355,false,patrimoineculturelalgerien.org
